TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_NM_ENG,ITM_ID,UNIT_NM,ORG_ID,UNIT_NM_ENG,C1_OBJ_NM,DT,PRD_SE,C1,C1_NM,C1_NM_ENG,LST_CHN_DE
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,50534731,M,00,전국,Whole country,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,25318961,M,00,전국,Whole country,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,25215770,M,00,전국,Whole country,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,10312835,M,11,서울특별시,Seoul,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,5110837,M,11,서울특별시,Seoul,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,5201998,M,11,서울특별시,Seoul,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,170577,M,11110,종로구,Jongno-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,85132,M,11110,종로구,Jongno-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,85445,M,11110,종로구,Jongno-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,132827,M,11140,중구,Jung-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,66868,M,11140,중구,Jung-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,65959,M,11140,중구,Jung-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,계,Total,T20,명,101,Person,행정구역별,244744,M,11170,용산구,Yongsan-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,남,Male,T21,명,101,Person,행정구역별,119368,M,11170,용산구,Yongsan-gu,
주민등록인구(시도/시/군/구),201101,DT_1YL20651E,여,Female,T22,명,101,Person,행정구역별,125376,M,11170,용산구,Yongsan-gu,
