계정명,단위사업명,비용성격,분야명,회계명,회계연도,소관명,프로그램명,세부사업명,부문명,국회확정액
,감사활동경비,자산취득비,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,감사활동경비,일반행정,44
,본부청사 및 시설물 관리,시설비,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,노후시설 개선공사,일반행정,402
,소속기관 청사 및 시설물관리,감리비,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,토사유출 방지시설 등 설치,일반행정,5
,소속기관 청사 및 시설물관리,시설부대비,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,토사유출 방지시설 등 설치,일반행정,2
,소속기관 청사 및 시설물관리,시설비,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,토사유출 방지시설 등 설치,일반행정,230
,소속기관 청사 및 시설물관리,실시설계비,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,토사유출 방지시설 등 설치,일반행정,9
,수입대체경비,자산취득비,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,감사교육원 수입대체경비,일반행정,31
,전산운영경비,자산취득비,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,본부 전산운영경비,일반행정,762
,전산운영경비,자산취득비,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,평가연구원 전산운영경비,일반행정,9
,평가연구활동경비,자산취득비,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,평가연구활동경비,일반행정,62
공항계정,일반공항관리,실시설계비,수송및교통,교통시설특별회계,2007,건설교통부,일반공항건설및관리,정기하자검사용역,항공·공항,30
공항계정,지방공항건설,감리비,수송및교통,교통시설특별회계,2007,건설교통부,일반공항건설및관리,김해공항확장(2단계),항공·공항,1350
공항계정,지방공항건설,시설부대비,수송및교통,교통시설특별회계,2007,건설교통부,일반공항건설및관리,김해공항확장(2단계),항공·공항,71
공항계정,지방공항건설,시설비,수송및교통,교통시설특별회계,2007,건설교통부,일반공항건설및관리,김해공항확장(2단계),항공·공항,69579
공항계정,지방공항건설,감리비,수송및교통,교통시설특별회계,2007,건설교통부,일반공항건설및관리,무안공항건설,항공·공항,233
공항계정,지방공항건설,시설부대비,수송및교통,교통시설특별회계,2007,건설교통부,일반공항건설및관리,무안공항건설,항공·공항,8
공항계정,지방공항건설,시설비,수송및교통,교통시설특별회계,2007,건설교통부,일반공항건설및관리,무안공항건설,항공·공항,19518
공항계정,지방공항건설,시설비,수송및교통,교통시설특별회계,2007,건설교통부,일반공항건설및관리,울진공항건설,항공·공항,2385
공항계정,항행안전시설,시설부대비,수송및교통,교통시설특별회계,2007,건설교통부,항공안전,기상시설건설및유지관리,항공·공항,22
공항계정,항행안전시설,시설비,수송및교통,교통시설특별회계,2007,건설교통부,항공안전,기상시설건설및유지관리,항공·공항,2545
공항계정,항행안전시설,자산취득비,수송및교통,교통시설특별회계,2007,건설교통부,항공안전,비행점검용항공기신규도입,항공·공항,4241
공항계정,항행안전시설,자산취득비,수송및교통,교통시설특별회계,2007,건설교통부,항공안전,비행점검용항공기운영,항공·공항,13
공항계정,항행안전시설,시설부대비,수송및교통,교통시설특별회계,2007,건설교통부,항공안전,시계활주로사고방지시설보강,항공·공항,45
공항계정,항행안전시설,시설비,수송및교통,교통시설특별회계,2007,건설교통부,항공안전,시계활주로사고방지시설보강,항공·공항,1788
공항계정,항행안전시설,실시설계비,수송및교통,교통시설특별회계,2007,건설교통부,항공안전,시계활주로사고방지시설보강,항공·공항,67
공항계정,항행안전시설,감리비,수송및교통,교통시설특별회계,2007,건설교통부,항공안전,전방향표지시설개량,항공·공항,140
공항계정,항행안전시설,시설부대비,수송및교통,교통시설특별회계,2007,건설교통부,항공안전,전방향표지시설개량,항공·공항,61
공항계정,항행안전시설,시설비,수송및교통,교통시설특별회계,2007,건설교통부,항공안전,전방향표지시설개량,항공·공항,3476
공항계정,항행안전시설,실시설계비,수송및교통,교통시설특별회계,2007,건설교통부,항공안전,전방향표지시설개량,항공·공항,265
공항계정,항행안전시설,시설비,수송및교통,교통시설특별회계,2007,건설교통부,항공안전,항공기사고조사및장비유지,항공·공항,100
공항계정,항행안전시설,자산취득비,수송및교통,교통시설특별회계,2007,건설교통부,항공안전,항공기사고조사및장비유지,항공·공항,270
공항계정,항행안전시설,자산취득비,수송및교통,교통시설특별회계,2007,건설교통부,항공안전,항공기안전성인증성수행,항공·공항,50
공항계정,항행안전시설,감리비,수송및교통,교통시설특별회계,2007,건설교통부,항공안전,항공등화시설보강,항공·공항,186
공항계정,항행안전시설,시설부대비,수송및교통,교통시설특별회계,2007,건설교통부,항공안전,항공등화시설보강,항공·공항,2
공항계정,항행안전시설,시설비,수송및교통,교통시설특별회계,2007,건설교통부,항공안전,항공등화시설보강,항공·공항,1376
공항계정,항행안전시설,자산취득비,수송및교통,교통시설특별회계,2007,건설교통부,항공안전,항공안전교육훈련,항공·공항,25
공항계정,항행안전시설,감리비,수송및교통,교통시설특별회계,2007,건설교통부,항공안전,항로관제시설,항공·공항,15
공항계정,항행안전시설,시설부대비,수송및교통,교통시설특별회계,2007,건설교통부,항공안전,항로관제시설,항공·공항,46
공항계정,항행안전시설,시설비,수송및교통,교통시설특별회계,2007,건설교통부,항공안전,항로관제시설,항공·공항,1396
공항계정,항행안전시설,자산취득비,수송및교통,교통시설특별회계,2007,건설교통부,항공안전,항로관제시설,항공·공항,20
공항계정,항행안전시설,자산취득비,수송및교통,교통시설특별회계,2007,건설교통부,항공안전,항행안전시설유지관리,항공·공항,1000
광역교통시설계정,광역철도조사설계,기본조사 설계비,수송및교통,교통시설특별회계,2007,건설교통부,광역철도건설,소사-대곡복선전철,철도,5000
광역교통시설계정,광역철도조사설계,기본조사 설계비,수송및교통,교통시설특별회계,2007,건설교통부,광역철도건설,신안산선복선전철,철도,4000
광역교통시설계정,광역철도조사설계,기본조사 설계비,수송및교통,교통시설특별회계,2007,건설교통부,광역철도건설,정자-수원복선전철,철도,1000
도로계정,산업단지진입도로지원,감리비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,강릉2산단진입도로,산업단지,400
도로계정,산업단지진입도로지원,시설부대비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,강릉2산단진입도로,산업단지,15
도로계정,산업단지진입도로지원,시설비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,강릉2산단진입도로,산업단지,8000
도로계정,산업단지진입도로지원,실시설계비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,경주외동2산단진입도로,산업단지,375
도로계정,산업단지진입도로지원,실시설계비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,고령다산2산단진입도로,산업단지,135
도로계정,산업단지진입도로지원,감리비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,광주첨단산단진입도로,산업단지,400
도로계정,산업단지진입도로지원,시설부대비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,광주첨단산단진입도로,산업단지,20
도로계정,산업단지진입도로지원,시설비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,광주첨단산단진입도로,산업단지,26857
도로계정,산업단지진입도로지원,감리비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,군장(군산1)산단진입도로,산업단지,497
도로계정,산업단지진입도로지원,시설부대비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,군장(군산1)산단진입도로,산업단지,10
도로계정,산업단지진입도로지원,시설비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,군장(군산1)산단진입도로,산업단지,17497
도로계정,산업단지진입도로지원,감리비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,군장(군산3)산단진입도로,산업단지,10
도로계정,산업단지진입도로지원,시설부대비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,군장(군산3)산단진입도로,산업단지,1
도로계정,산업단지진입도로지원,시설비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,군장(군산3)산단진입도로,산업단지,1000
도로계정,산업단지진입도로지원,감리비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,군장(장항1)산단진입도로,산업단지,100
도로계정,산업단지진입도로지원,시설부대비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,군장(장항1)산단진입도로,산업단지,5
도로계정,산업단지진입도로지원,시설비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,군장(장항1)산단진입도로,산업단지,2000
도로계정,산업단지진입도로지원,감리비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,군장(장항2)산단진입도로,산업단지,300
도로계정,산업단지진입도로지원,시설부대비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,군장(장항2)산단진입도로,산업단지,10
도로계정,산업단지진입도로지원,시설비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,군장(장항2)산단진입도로,산업단지,6000
도로계정,산업단지진입도로지원,감리비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,대구구지산단진입도로,산업단지,400
도로계정,산업단지진입도로지원,시설부대비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,대구구지산단진입도로,산업단지,15
도로계정,산업단지진입도로지원,시설비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,대구구지산단진입도로,산업단지,29600
도로계정,산업단지진입도로지원,감리비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,대구봉무산단진입도로,산업단지,300
도로계정,산업단지진입도로지원,시설부대비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,대구봉무산단진입도로,산업단지,10
도로계정,산업단지진입도로지원,시설비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,대구봉무산단진입도로,산업단지,16000
도로계정,산업단지진입도로지원,감리비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,대덕연구산단진입도로,산업단지,350
도로계정,산업단지진입도로지원,시설부대비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,대덕연구산단진입도로,산업단지,15
도로계정,산업단지진입도로지원,시설비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,대덕연구산단진입도로,산업단지,7000
도로계정,산업단지진입도로지원,감리비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,대불산단진입도로,산업단지,150
도로계정,산업단지진입도로지원,시설부대비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,대불산단진입도로,산업단지,10
도로계정,산업단지진입도로지원,시설비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,대불산단진입도로,산업단지,3000
도로계정,산업단지진입도로지원,감리비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,미포산단진입도로,산업단지,200
도로계정,산업단지진입도로지원,시설부대비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,미포산단진입도로,산업단지,30
도로계정,산업단지진입도로지원,시설비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,미포산단진입도로,산업단지,4000
도로계정,산업단지진입도로지원,실시설계비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,밀양사포산단진입도로,산업단지,700
도로계정,산업단지진입도로지원,시설비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,부산정관산단진입도로,산업단지,25420
도로계정,산업단지진입도로지원,실시설계비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,서산산단진입도로,산업단지,130
도로계정,산업단지진입도로지원,감리비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,송도지식산단진입도로,산업단지,350
도로계정,산업단지진입도로지원,시설부대비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,송도지식산단진입도로,산업단지,20
도로계정,산업단지진입도로지원,시설비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,송도지식산단진입도로,산업단지,10000
도로계정,산업단지진입도로지원,감리비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,아산인주1(2)산단진입도로,산업단지,200
도로계정,산업단지진입도로지원,시설부대비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,아산인주1(2)산단진입도로,산업단지,10
도로계정,산업단지진입도로지원,시설비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,아산인주1(2)산단진입도로,산업단지,4000
도로계정,산업단지진입도로지원,시설비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,여수2산단진입도로,산업단지,5200
도로계정,산업단지진입도로지원,감리비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,여수국가산단진입도로,산업단지,200
도로계정,산업단지진입도로지원,시설부대비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,여수국가산단진입도로,산업단지,10
도로계정,산업단지진입도로지원,시설비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,여수국가산단진입도로,산업단지,14000
도로계정,산업단지진입도로지원,감리비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,오송(1)산단진입도로,산업단지,300
도로계정,산업단지진입도로지원,시설부대비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,오송(1)산단진입도로,산업단지,5
도로계정,산업단지진입도로지원,시설비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,오송(1)산단진입도로,산업단지,7500
도로계정,산업단지진입도로지원,감리비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,온산국가산단진입도로,산업단지,100
도로계정,산업단지진입도로지원,시설부대비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,온산국가산단진입도로,산업단지,5
도로계정,산업단지진입도로지원,시설비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,온산국가산단진입도로,산업단지,2000
도로계정,산업단지진입도로지원,실시설계비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,울산길천산단진입도로,산업단지,800
도로계정,산업단지진입도로지원,감리비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,율촌(2)산단진입도로,산업단지,50
도로계정,산업단지진입도로지원,시설부대비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,율촌(2)산단진입도로,산업단지,5
도로계정,산업단지진입도로지원,시설비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,율촌(2)산단진입도로,산업단지,1000
도로계정,산업단지진입도로지원,감리비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,음성맹동산단진입도로,산업단지,150
도로계정,산업단지진입도로지원,시설부대비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,음성맹동산단진입도로,산업단지,10
도로계정,산업단지진입도로지원,시설비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,음성맹동산단진입도로,산업단지,3000
도로계정,산업단지진입도로지원,감리비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,조치원전의산단진입도로,산업단지,150
도로계정,산업단지진입도로지원,시설부대비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,조치원전의산단진입도로,산업단지,10
도로계정,산업단지진입도로지원,시설비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,조치원전의산단진입도로,산업단지,3000
도로계정,산업단지진입도로지원,감리비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,증평산단진입도로,산업단지,50
도로계정,산업단지진입도로지원,시설부대비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,증평산단진입도로,산업단지,5
도로계정,산업단지진입도로지원,시설비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,증평산단진입도로,산업단지,1000
도로계정,산업단지진입도로지원,감리비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,진북산단진입도로,산업단지,150
도로계정,산업단지진입도로지원,시설부대비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,진북산단진입도로,산업단지,10
도로계정,산업단지진입도로지원,시설비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,진북산단진입도로,산업단지,3000
도로계정,산업단지진입도로지원,감리비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,진주산단진입도로,산업단지,150
도로계정,산업단지진입도로지원,시설부대비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,진주산단진입도로,산업단지,10
도로계정,산업단지진입도로지원,시설비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,진주산단진입도로,산업단지,3000
도로계정,산업단지진입도로지원,감리비,국토및지역개발,교통시설특별회계,2007,건설교통부,산업단지개발및지원,진해2산단진입도로,산업단지,150
