계정명,FNT_UDAMT,회계명,회계연도,수입항,수입항명,수입관,수입관명,NPL_AMT,NRC_AMT,소관명,RC_AMT,RD_AMT,REVN_BDGAMT_F,REVN_BDGAMT_M,REVN_BDG_CAMT,RV_NAMT
,0.0,일반회계,2022,51,관유물대여료,11,재산수입,0.0,0.0,대통령비서실 및 국가안보실,5238490.0,5238490.0,157000000.0,157000000.0,157000000.0,5238490.0
,0.0,일반회계,2022,57,변상금및위약금,12,경상이전수입,0.0,0.0,대통령비서실 및 국가안보실,6044180.0,6044180.0,0.0,0.0,0.0,6044180.0
,0.0,일반회계,2022,58,가산금,12,경상이전수입,0.0,0.0,대통령비서실 및 국가안보실,1562300.0,1562300.0,0.0,0.0,0.0,1562300.0
,0.0,일반회계,2022,59,기타경상이전수입,12,경상이전수입,0.0,10477970.0,대통령비서실 및 국가안보실,641039400.0,651517370.0,120000000.0,120000000.0,120000000.0,641039400.0
,0.0,일반회계,2022,69,잡수입,13,재화및용역판매수입,0.0,0.0,대통령비서실 및 국가안보실,11064910.0,11064910.0,20000000.0,20000000.0,20000000.0,11064910.0
,0.0,일반회계,2022,51,관유물대여료,11,재산수입,0.0,0.0,대통령경호처,61593600.0,61593600.0,55000000.0,55000000.0,55000000.0,61593600.0
,0.0,일반회계,2022,54,기타이자수입및재산수입,11,재산수입,0.0,0.0,대통령경호처,64000.0,64000.0,0.0,0.0,0.0,64000.0
,0.0,일반회계,2022,57,변상금및위약금,12,경상이전수입,0.0,0.0,대통령경호처,5955830.0,5955830.0,0.0,0.0,0.0,5955830.0
,0.0,일반회계,2022,59,기타경상이전수입,12,경상이전수입,0.0,0.0,대통령경호처,240102460.0,240102460.0,0.0,0.0,0.0,240102460.0
,0.0,일반회계,2022,65,면허료및수수료,13,재화및용역판매수입,0.0,0.0,대통령경호처,4565860.0,4565860.0,7000000.0,7000000.0,7000000.0,4565860.0
,0.0,일반회계,2022,69,잡수입,13,재화및용역판매수입,0.0,0.0,대통령경호처,20742700.0,20742700.0,13000000.0,13000000.0,13000000.0,20742700.0
,0.0,일반회계,2022,51,관유물대여료,11,재산수입,0.0,0.0,국회,1344551920.0,1344551920.0,1975000000.0,1975000000.0,1975000000.0,1344551920.0
,0.0,일반회계,2022,54,기타이자수입및재산수입,11,재산수입,0.0,0.0,국회,6962420.0,6962420.0,6000000.0,6000000.0,6000000.0,6962420.0
,0.0,일반회계,2022,56,"벌금,몰수금및과태료",12,경상이전수입,0.0,572910.0,국회,0.0,572910.0,0.0,0.0,0.0,0.0
,0.0,일반회계,2022,57,변상금및위약금,12,경상이전수입,0.0,114827870.0,국회,110990830.0,225818700.0,36000000.0,36000000.0,36000000.0,110990830.0
,0.0,일반회계,2022,58,가산금,12,경상이전수입,0.0,133950.0,국회,0.0,133950.0,0.0,0.0,0.0,0.0
,0.0,일반회계,2022,59,기타경상이전수입,12,경상이전수입,24688090.0,110028560.0,국회,1308611740.0,1443328390.0,912000000.0,912000000.0,912000000.0,1308611740.0
,0.0,일반회계,2022,65,면허료및수수료,13,재화및용역판매수입,0.0,0.0,국회,61244410.0,61244410.0,91000000.0,91000000.0,91000000.0,61244410.0
,0.0,일반회계,2022,69,잡수입,13,재화및용역판매수입,0.0,0.0,국회,674408530.0,674408530.0,860000000.0,860000000.0,860000000.0,674408530.0
,0.0,일반회계,2022,69,잡수입,14,수입대체경비수입,0.0,0.0,국회,145300000.0,145300000.0,232000000.0,232000000.0,232000000.0,145300000.0
,0.0,일반회계,2022,71,고정자산매각대,15,관유물매각대,0.0,0.0,국회,112826000.0,112826000.0,51000000.0,51000000.0,51000000.0,112826000.0
,0.0,일반회계,2022,51,관유물대여료,11,재산수입,0.0,1834080.0,대법원,2945613730.0,2947447810.0,3878000000.0,3878000000.0,3878000000.0,2945613730.0
,0.0,일반회계,2022,54,기타이자수입및재산수입,11,재산수입,0.0,1659590.0,대법원,36612390.0,38271980.0,0.0,0.0,0.0,36612390.0
,0.0,일반회계,2022,56,"벌금,몰수금및과태료",12,경상이전수입,0.0,1060287190.0,대법원,114625870.0,1174913060.0,105000000.0,105000000.0,105000000.0,114625870.0
,0.0,일반회계,2022,57,변상금및위약금,12,경상이전수입,0.0,412149140.0,대법원,133264850.0,545413990.0,247000000.0,247000000.0,247000000.0,133264850.0
,0.0,일반회계,2022,58,가산금,12,경상이전수입,0.0,164070.0,대법원,1344400.0,1508470.0,0.0,0.0,0.0,1344400.0
,0.0,일반회계,2022,59,기타경상이전수입,12,경상이전수입,0.0,4954520.0,대법원,106904595660.0,106909550180.0,145051000000.0,145051000000.0,145051000000.0,106904595660.0
,0.0,일반회계,2022,65,면허료및수수료,13,재화및용역판매수입,0.0,177710.0,대법원,295475847880.0,295476025590.0,284308000000.0,284308000000.0,284308000000.0,295475847880.0
,0.0,일반회계,2022,69,잡수입,13,재화및용역판매수입,0.0,40500.0,대법원,388786850.0,388827350.0,153000000.0,153000000.0,153000000.0,388786850.0
,0.0,일반회계,2022,71,고정자산매각대,15,관유물매각대,0.0,0.0,대법원,9359000.0,9359000.0,0.0,0.0,0.0,9359000.0
,0.0,일반회계,2022,72,토지및무형자산매각대,15,관유물매각대,0.0,0.0,대법원,87446800.0,87446800.0,0.0,0.0,0.0,87446800.0
,0.0,일반회계,2022,91,전입금,40,정부내부수입및기타,0.0,0.0,대법원,0.0,0.0,50305000000.0,50305000000.0,50305000000.0,0.0
,0.0,등기특별회계,2022,51,관유물대여료,11,재산수입,0.0,20138960.0,대법원,255665990.0,275804950.0,292000000.0,292000000.0,292000000.0,255665990.0
,0.0,등기특별회계,2022,54,기타이자수입및재산수입,11,재산수입,0.0,0.0,대법원,212640410.0,212640410.0,155000000.0,155000000.0,155000000.0,212640410.0
,0.0,등기특별회계,2022,59,기타경상이전수입,12,경상이전수입,0.0,210.0,대법원,1930960.0,1931170.0,20000000.0,20000000.0,20000000.0,1930960.0
,0.0,등기특별회계,2022,65,면허료및수수료,13,재화및용역판매수입,0.0,0.0,대법원,230725388490.0,230725388490.0,258087000000.0,258087000000.0,258087000000.0,230725388490.0
,0.0,등기특별회계,2022,69,잡수입,13,재화및용역판매수입,0.0,0.0,대법원,9619370.0,9619370.0,7000000.0,7000000.0,7000000.0,9619370.0
,0.0,등기특별회계,2022,71,고정자산매각대,15,관유물매각대,0.0,0.0,대법원,64187450.0,64187450.0,1406000000.0,1406000000.0,1406000000.0,64187450.0
,0.0,등기특별회계,2022,72,토지및무형자산매각대,15,관유물매각대,0.0,0.0,대법원,12351532320.0,12351532320.0,10261000000.0,10261000000.0,10261000000.0,12351532320.0
,0.0,등기특별회계,2022,89,세계잉여금이입액,34,세계잉여금,0.0,0.0,대법원,73684768490.0,73684768490.0,35175000000.0,35175000000.0,35175000000.0,73684768490.0
,0.0,사법서비스진흥기금,2022,54,기타이자수입및재산수입,11,재산수입,0.0,0.0,대법원,2729330.0,2729330.0,0.0,0.0,0.0,2729330.0
,0.0,사법서비스진흥기금,2022,57,변상금및위약금,12,경상이전수입,0.0,1395432960.0,대법원,258427020.0,1653859980.0,0.0,0.0,0.0,258427020.0
,0.0,사법서비스진흥기금,2022,58,가산금,12,경상이전수입,0.0,440800.0,대법원,46400.0,487200.0,0.0,0.0,0.0,46400.0
,0.0,사법서비스진흥기금,2022,59,기타경상이전수입,12,경상이전수입,0.0,0.0,대법원,75988021070.0,75988021070.0,101596000000.0,101596000000.0,101596000000.0,75988021070.0
,0.0,사법서비스진흥기금,2022,65,면허료및수수료,13,재화및용역판매수입,0.0,0.0,대법원,152000.0,152000.0,0.0,0.0,0.0,152000.0
,0.0,사법서비스진흥기금,2022,69,잡수입,13,재화및용역판매수입,0.0,0.0,대법원,248180.0,248180.0,0.0,0.0,0.0,248180.0
,0.0,사법서비스진흥기금,2022,85,정부예금회수,31,차입금및여유자금회수,0.0,0.0,대법원,26459251980.0,26459251980.0,49829000000.0,49829000000.0,49829000000.0,26459251980.0
,0.0,사법서비스진흥기금,2022,92,예탁원금회수,40,정부내부수입및기타,0.0,0.0,대법원,30000000000.0,30000000000.0,30000000000.0,30000000000.0,30000000000.0,30000000000.0
,0.0,사법서비스진흥기금,2022,95,예탁이자수입,40,정부내부수입및기타,0.0,0.0,대법원,575999980.0,575999980.0,1170000000.0,1170000000.0,1170000000.0,575999980.0
,0.0,일반회계,2022,54,기타이자수입및재산수입,11,재산수입,0.0,0.0,헌법재판소,44560.0,44560.0,0.0,0.0,0.0,44560.0
,0.0,일반회계,2022,59,기타경상이전수입,12,경상이전수입,0.0,0.0,헌법재판소,22741710.0,22741710.0,450000000.0,450000000.0,450000000.0,22741710.0
,0.0,일반회계,2022,65,면허료및수수료,13,재화및용역판매수입,0.0,0.0,헌법재판소,5112400.0,5112400.0,9000000.0,9000000.0,9000000.0,5112400.0
,0.0,일반회계,2022,69,잡수입,13,재화및용역판매수입,0.0,0.0,헌법재판소,17514340.0,17514340.0,21000000.0,21000000.0,21000000.0,17514340.0
,0.0,일반회계,2022,51,관유물대여료,11,재산수입,0.0,0.0,중앙선거관리위원회,16202380.0,16202380.0,20000000.0,20000000.0,20000000.0,16202380.0
,0.0,일반회계,2022,54,기타이자수입및재산수입,11,재산수입,0.0,0.0,중앙선거관리위원회,14678400.0,14678400.0,10000000.0,10000000.0,10000000.0,14678400.0
,0.0,일반회계,2022,56,"벌금,몰수금및과태료",12,경상이전수입,73605000.0,67285350.0,중앙선거관리위원회,92621220.0,233511570.0,300000000.0,300000000.0,300000000.0,92621220.0
,0.0,일반회계,2022,57,변상금및위약금,12,경상이전수입,0.0,0.0,중앙선거관리위원회,89772080.0,89772080.0,0.0,0.0,0.0,89772080.0
,0.0,일반회계,2022,58,가산금,12,경상이전수입,0.0,862820.0,중앙선거관리위원회,1026380.0,1889200.0,0.0,0.0,0.0,1026380.0
,0.0,일반회계,2022,59,기타경상이전수입,12,경상이전수입,0.0,1278507600.0,중앙선거관리위원회,6148156620.0,7426664220.0,3695000000.0,3695000000.0,3695000000.0,6148156620.0
,0.0,일반회계,2022,69,잡수입,13,재화및용역판매수입,0.0,0.0,중앙선거관리위원회,221531640.0,221531640.0,10000000.0,10000000.0,10000000.0,221531640.0
,0.0,일반회계,2022,72,토지및무형자산매각대,15,관유물매각대,0.0,0.0,중앙선거관리위원회,95052500.0,95052500.0,0.0,0.0,0.0,95052500.0
,0.0,일반회계,2022,54,기타이자수입및재산수입,11,재산수입,0.0,0.0,민주평화통일자문회의,2215740.0,2215740.0,3000000.0,3000000.0,3000000.0,2215740.0
,0.0,일반회계,2022,59,기타경상이전수입,12,경상이전수입,0.0,11909970.0,민주평화통일자문회의,9896370.0,21806340.0,2000000.0,2000000.0,2000000.0,9896370.0
,0.0,일반회계,2022,51,관유물대여료,11,재산수입,0.0,0.0,감사원,10892130.0,10892130.0,26000000.0,26000000.0,26000000.0,10892130.0
,0.0,일반회계,2022,59,기타경상이전수입,12,경상이전수입,0.0,0.0,감사원,25614610.0,25614610.0,73000000.0,73000000.0,73000000.0,25614610.0
,0.0,일반회계,2022,69,잡수입,13,재화및용역판매수입,0.0,0.0,감사원,102144140.0,102144140.0,97000000.0,97000000.0,97000000.0,102144140.0
,0.0,일반회계,2022,69,잡수입,14,수입대체경비수입,0.0,0.0,감사원,425320000.0,425320000.0,520000000.0,520000000.0,520000000.0,425320000.0
,0.0,일반회계,2022,54,기타이자수입및재산수입,11,재산수입,0.0,0.0,국가정보원,42317964910.0,42317964910.0,7719000000.0,7719000000.0,7719000000.0,42317964910.0
,0.0,일반회계,2022,54,기타이자수입및재산수입,11,재산수입,0.0,0.0,국무조정실 및 국무총리비서실,10352050.0,10352050.0,1000000.0,1000000.0,1000000.0,10352050.0
,0.0,일반회계,2022,57,변상금및위약금,12,경상이전수입,0.0,0.0,국무조정실 및 국무총리비서실,11361500.0,11361500.0,0.0,0.0,0.0,11361500.0
,0.0,일반회계,2022,59,기타경상이전수입,12,경상이전수입,0.0,0.0,국무조정실 및 국무총리비서실,264786270.0,264786270.0,22000000.0,22000000.0,22000000.0,264786270.0
,0.0,일반회계,2022,11,소득세,01,내국세,14639887750.0,6205694507800.0,기획재정부,128748596104480.0,134968930500030.0,127845900000000.0,127845900000000.0,127845900000000.0,128748596104480.0
,0.0,일반회계,2022,12,법인세,01,내국세,6191446430.0,1806598462090.0,기획재정부,103570359661000.0,105383149569520.0,104066200000000.0,104066200000000.0,104066200000000.0,103570359661000.0
,0.0,일반회계,2022,15,상속세,01,내국세,143371420.0,734577906790.0,기획재정부,14594018819510.0,15328740097720.0,15903600000000.0,15903600000000.0,15903600000000.0,14594018819510.0
,0.0,일반회계,2022,21,부가가치세,01,내국세,7985806100.0,8421466722480.0,기획재정부,81626608431760.0,90056060960340.0,79323300000000.0,79323300000000.0,79323300000000.0,81626608431760.0
,0.0,일반회계,2022,22,개별소비세,01,내국세,16472690.0,398132629940.0,기획재정부,9318244193770.0,9716393296400.0,10141800000000.0,10141800000000.0,10141800000000.0,9318244193770.0
,0.0,일반회계,2022,23,주세,01,내국세,125275490.0,35571751930.0,기획재정부,0.0,35697027420.0,0.0,0.0,0.0,0.0
,0.0,일반회계,2022,25,증권거래세,01,내국세,3269430.0,6865539850.0,기획재정부,6302867096840.0,6309735906120.0,7538000000000.0,7538000000000.0,7538000000000.0,6302867096840.0
,0.0,일반회계,2022,26,인지세,01,내국세,0.0,2472168800.0,기획재정부,798774512320.0,801246681120.0,948000000000.0,948000000000.0,948000000000.0,798774512320.0
,0.0,일반회계,2022,27,기타내국세,01,내국세,1776790611610.0,35337008056180.0,기획재정부,7315526584200.0,44429325251990.0,6154900000000.0,6154900000000.0,6154900000000.0,7315526584200.0
,0.0,일반회계,2022,31,관세,02,관세,6904867460.0,1433102834520.0,기획재정부,10324117916890.0,11764125618870.0,10061300000000.0,10061300000000.0,10061300000000.0,10324117916890.0
,0.0,일반회계,2022,32,방위세,03,방위세,4404160.0,408056550.0,기획재정부,897989130.0,1310449840.0,0.0,0.0,0.0,897989130.0
,0.0,일반회계,2022,33,교통·에너지·환경세,04,교통·에너지·환경세,3394620540.0,21950745630.0,기획재정부,11116374850050.0,11141720216220.0,10902200000000.0,10902200000000.0,10902200000000.0,11116374850050.0
,0.0,일반회계,2022,34,교육세,06,교육세,2476749500.0,61214939376.0,기획재정부,4644379981090.0,4708071669966.0,4726600000000.0,4726600000000.0,4726600000000.0,4644379981090.0
,0.0,일반회계,2022,37,농어촌특별세,08,농어촌특별세,3889097140.0,228072365010.0,기획재정부,0.0,231961462150.0,0.0,0.0,0.0,0.0
,0.0,일반회계,2022,39,종합부동산세,09,종합부동산세,6392217490.0,1155627368480.0,기획재정부,6798810011250.0,7960829597220.0,8620400000000.0,8620400000000.0,8620400000000.0,6798810011250.0
,0.0,일반회계,2022,51,관유물대여료,11,재산수입,0.0,59137244620.0,기획재정부,0.0,59137244620.0,0.0,0.0,0.0,0.0
,0.0,일반회계,2022,52,정부출자수입,11,재산수입,0.0,0.0,기획재정부,1682596995930.0,1682596995930.0,1682597000000.0,1682597000000.0,1682597000000.0,1682596995930.0
,0.0,일반회계,2022,54,기타이자수입및재산수입,11,재산수입,0.0,0.0,기획재정부,5480736674960.0,5480736674960.0,5479398000000.0,5479398000000.0,5479398000000.0,5480736674960.0
,0.0,일반회계,2022,56,"벌금,몰수금및과태료",12,경상이전수입,0.0,39500000.0,기획재정부,148680000.0,188180000.0,209000000.0,209000000.0,209000000.0,148680000.0
,0.0,일반회계,2022,57,변상금및위약금,12,경상이전수입,0.0,259089689170.0,기획재정부,0.0,259089689170.0,3000000.0,3000000.0,3000000.0,0.0
,0.0,일반회계,2022,58,가산금,12,경상이전수입,0.0,0.0,기획재정부,0.0,0.0,1000000.0,1000000.0,1000000.0,0.0
,0.0,일반회계,2022,59,기타경상이전수입,12,경상이전수입,0.0,5642024220.0,기획재정부,9442420400.0,15084444620.0,8465950000.0,8465950000.0,8465950000.0,9442420400.0
,0.0,일반회계,2022,69,잡수입,13,재화및용역판매수입,0.0,0.0,기획재정부,2966080.0,2966080.0,2000000.0,2000000.0,2000000.0,2966080.0
,0.0,일반회계,2022,71,고정자산매각대,15,관유물매각대,0.0,4347267000.0,기획재정부,0.0,4347267000.0,0.0,0.0,0.0,0.0
,0.0,일반회계,2022,72,토지및무형자산매각대,15,관유물매각대,0.0,568026061480.0,기획재정부,0.0,568026061480.0,0.0,0.0,0.0,0.0
,0.0,일반회계,2022,73,재고자산매각대및유동자산,15,관유물매각대,0.0,0.0,기획재정부,57634912480.0,57634912480.0,44849000000.0,44849000000.0,44849000000.0,57634912480.0
,0.0,일반회계,2022,88,전년도이월금,33,전년도이월금,0.0,0.0,기획재정부,2647662997220.0,2647662997220.0,0.0,0.0,0.0,2647662997220.0
,0.0,일반회계,2022,89,세계잉여금이입액,34,세계잉여금,0.0,0.0,기획재정부,3261812495230.0,3261812495230.0,3261812000000.0,3261812000000.0,3261812000000.0,3261812495230.0
,0.0,일반회계,2022,91,전입금,40,정부내부수입및기타,0.0,0.0,기획재정부,167581811470.0,167581811470.0,167982000000.0,167982000000.0,167982000000.0,167581811470.0
,0.0,일반회계,2022,94,예수금,40,정부내부수입및기타,0.0,0.0,기획재정부,86200000000000.0,86200000000000.0,91191732000000.0,91191732000000.0,91191732000000.0,86200000000000.0
지역자율계정,0.0,국가균형발전특별회계,2022,23,주세,01,내국세,0.0,0.0,기획재정부,1506612198700.0,1506612198700.0,1494960000000.0,1494960000000.0,1494960000000.0,1506612198700.0
지역자율계정,0.0,국가균형발전특별회계,2022,88,전년도이월금,33,전년도이월금,0.0,0.0,기획재정부,55758832700.0,55758832700.0,0.0,0.0,0.0,55758832700.0
지역자율계정,0.0,국가균형발전특별회계,2022,89,세계잉여금이입액,34,세계잉여금,0.0,0.0,기획재정부,0.0,0.0,23635000000.0,23635000000.0,23635000000.0,0.0
지역자율계정,0.0,국가균형발전특별회계,2022,91,전입금,40,정부내부수입및기타,0.0,0.0,기획재정부,990879800000.0,990879800000.0,1067949000000.0,1067949000000.0,1067949000000.0,990879800000.0
지역지원계정,0.0,국가균형발전특별회계,2022,23,주세,01,내국세,0.0,0.0,기획재정부,2259918300170.0,2259918300170.0,2242440000000.0,2242440000000.0,2242440000000.0,2259918300170.0
지역지원계정,0.0,국가균형발전특별회계,2022,88,전년도이월금,33,전년도이월금,0.0,0.0,기획재정부,74769381440.0,74769381440.0,0.0,0.0,0.0,74769381440.0
지역지원계정,0.0,국가균형발전특별회계,2022,89,세계잉여금이입액,34,세계잉여금,0.0,0.0,기획재정부,0.0,0.0,-335700000000.0,-335700000000.0,-335700000000.0,0.0
지역지원계정,0.0,국가균형발전특별회계,2022,91,전입금,40,정부내부수입및기타,0.0,0.0,기획재정부,5742233000000.0,5742233000000.0,5881011000000.0,5881011000000.0,5881011000000.0,5742233000000.0
제주특별자치도계정,0.0,국가균형발전특별회계,2022,88,전년도이월금,33,전년도이월금,0.0,0.0,기획재정부,4213000000.0,4213000000.0,0.0,0.0,0.0,4213000000.0
제주특별자치도계정,0.0,국가균형발전특별회계,2022,89,세계잉여금이입액,34,세계잉여금,0.0,0.0,기획재정부,22046245600.0,22046245600.0,0.0,0.0,0.0,22046245600.0
제주특별자치도계정,0.0,국가균형발전특별회계,2022,91,전입금,40,정부내부수입및기타,0.0,0.0,기획재정부,265008000000.0,265008000000.0,265008000000.0,265008000000.0,265008000000.0,265008000000.0
세종특별자치시계정,0.0,국가균형발전특별회계,2022,88,전년도이월금,33,전년도이월금,0.0,0.0,기획재정부,1436959950.0,1436959950.0,0.0,0.0,0.0,1436959950.0
세종특별자치시계정,0.0,국가균형발전특별회계,2022,89,세계잉여금이입액,34,세계잉여금,0.0,0.0,기획재정부,4639466890.0,4639466890.0,0.0,0.0,0.0,4639466890.0
세종특별자치시계정,0.0,국가균형발전특별회계,2022,91,전입금,40,정부내부수입및기타,0.0,0.0,기획재정부,71584000000.0,71584000000.0,71584000000.0,71584000000.0,71584000000.0,71584000000.0
총괄계정,0.0,공공자금관리기금,2022,54,기타이자수입및재산수입,11,재산수입,0.0,183366440.0,기획재정부,343043039930.0,343226406370.0,206945000000.0,206945000000.0,206945000000.0,343043039930.0
총괄계정,0.0,공공자금관리기금,2022,75,융자원금회수,20,융자및전대차관원금회수,0.0,0.0,기획재정부,554626931000.0,554626931000.0,394093000000.0,394093000000.0,394093000000.0,554626931000.0
