세출예산현액,세출증감액,불용액,세출지출액,회계연도,다음년도이월액,소관명,수납액,예산현액,증감액
14213690000,2300695320,1697299260,11912994680,2022,603396060,5·18민주화운동 진상규명조사위원회,41901920,0,41901920
15883361960,5525365590,5525365590,10357996370,2022,0,가습기살균제사건과 4·16세월호참사 특별조사위원회,53544920,0,53544920
1.35444E+11,8240412610,6672448020,1.27204E+11,2022,1567964590,감사원,563970880,716000000,-152029120
50069365000,1877380490,1877380490,48191984510,2022,0,개인정보보호위원회,3362564850,2906000000,456564850
1.23189E+13,2.38115E+11,2.20157E+11,1.20808E+13,2022,17958410800,경찰청,1.37469E+12,1.07965E+12,2.95034E+11
1.05945E+13,1.60627E+12,1.60367E+12,8.98824E+12,2022,2601600380,고용노동부,5.3836E+11,1.41061E+11,3.97299E+11
23721358580,5419519460,3786134810,18301839120,2022,1633384650,고위공직자범죄수사처,142559650,0,142559650
1.58608E+11,3767268320,1804264320,1.54841E+11,2022,1963004000,공정거래위원회,6.73669E+11,3.91433E+11,2.82236E+11
1.98797E+13,9.78599E+11,9.51914E+11,1.89011E+13,2022,26685368940,과학기술정보통신부,9.90404E+12,1.02936E+13,-3.89589E+11
6.12971E+11,23702790520,19843640940,5.89269E+11,2022,3859149580,관세청,58216559120,37568000000,20648559120
9.94407E+13,1.68389E+11,1.55017E+11,9.92723E+13,2022,13371118310,교육부,4.32721E+12,4.0553E+12,2.71902E+11
1455299000,234851630,207305440,1220447370,2022,27546190,국가교육위원회,0,0,0
5.76065E+12,97595782890,63335176710,5.66305E+12,2022,34260606180,국가보훈처,6381472590,9304000000,-2922527410
41467621410,2362150380,2362150380,39105471030,2022,0,국가인권위원회,9816870,12000000,-2183130
8.39726E+11,61252606170,52839758480,7.78473E+11,2022,8412847690,국가정보원,42317964910,7719000000,34598964910
6.62827E+11,32967412810,32414443810,6.2986E+11,2022,552969000,국무조정실 및 국무총리비서실,286499820,23000000,263499820
92793000000,4308560700,4308560700,88484439300,2022,0,국민권익위원회,1178726690,539000000,639726690
