계정명,DIF_AMT,이체등증감액,회계명,회계연도,불납결손액,미수납액,소관명,수납금액,징수결정금액,세입예산액,세입예산현액
,41901920.0,0.0,일반회계,2022,0.0,0.0,5·18민주화운동 진상규명조사위원회,41901920.0,41901920.0,0.0,0.0
,53544920.0,0.0,일반회계,2022,0.0,0.0,가습기살균제사건과 4·16세월호참사 특별조사위원회,53544920.0,53544920.0,0.0,0.0
,-152029120.0,0.0,일반회계,2022,0.0,0.0,감사원,563970880.0,563970880.0,716000000.0,716000000.0
,456564850.0,0.0,일반회계,2022,88980040.0,101920274730.0,개인정보보호위원회,3362564850.0,105371819620.0,2906000000.0,2906000000.0
손익계정,14820120520.0,0.0,경찰병원,2022,0.0,28381050.0,경찰청,93841120520.0,93869501570.0,79021000000.0,79021000000.0
자본계정,31069180.0,0.0,경찰병원,2022,0.0,0.0,경찰청,3594069180.0,3594069180.0,3563000000.0,3563000000.0
,280183292630.0,0.0,일반회계,2022,7850310400.0,1161537214840.0,경찰청,1277253292630.0,2446640817870.0,997070000000.0,997070000000.0
제주특별자치도계정,1074095660.0,0.0,국가균형발전특별회계,2022,0.0,0.0,고용노동부,1474095660.0,1474095660.0,400000000.0,400000000.0
지역지원계정,25514217260.0,0.0,국가균형발전특별회계,2022,0.0,3735533550.0,고용노동부,35114217260.0,38849750810.0,9600000000.0,9600000000.0
투자계정,243432530.0,0.0,에너지및자원사업특별회계,2022,0.0,538660640.0,고용노동부,243432530.0,782093170.0,0.0,0.0
,370467515660.0,0.0,일반회계,2022,1832306960.0,141391860760.0,고용노동부,501528515660.0,644752683380.0,131061000000.0,131061000000.0
,142559650.0,0.0,일반회계,2022,0.0,0.0,고위공직자범죄수사처,142559650.0,142559650.0,0.0,0.0
,282236016560.0,0.0,일반회계,2022,241852010.0,545363291330.0,공정거래위원회,673669016560.0,1219274159900.0,391433000000.0,391433000000.0
세종특별자치시계정,37997250.0,0.0,국가균형발전특별회계,2022,0.0,0.0,과학기술정보통신부,37997250.0,37997250.0,0.0,0.0
제주특별자치도계정,26639830.0,0.0,국가균형발전특별회계,2022,0.0,0.0,과학기술정보통신부,26639830.0,26639830.0,0.0,0.0
지역지원계정,1898048930.0,0.0,국가균형발전특별회계,2022,0.0,157749880.0,과학기술정보통신부,11177048930.0,11334798810.0,9279000000.0,9279000000.0
손익계정,-296318640.0,0.0,국립과천과학관,2022,0.0,111087940.0,과학기술정보통신부,28929681360.0,29040769300.0,29226000000.0,29226000000.0
