계정명,세출예산액,세출예산현액,이용및이체증액,이용및이체감액,전용증액,전용감액,불용액,지출금액,회계명,회계연도,다음년도이월액,소관명,전년도이월액,예비비지출결정증액,예비비지출결정감액,초과지출승인액
,13733000000.0,14213690000.0,0.0,0.0,0.0,0.0,1697299260.0,11912994680.0,일반회계,2022,603396060.0,5·18민주화운동 진상규명조사위원회,480690000.0,0.0,0.0,0.0
,12511000000.0,15883361960.0,0.0,0.0,220000000.0,-220000000.0,5525365590.0,10357996370.0,일반회계,2022,0.0,가습기살균제사건과 4·16세월호참사 특별조사위원회,3372361960.0,0.0,0.0,0.0
,135220500000.0,135444096450.0,0.0,0.0,425000000.0,-425000000.0,6672448020.0,127203683840.0,일반회계,2022,1567964590.0,감사원,223596450.0,0.0,0.0,0.0
,50017000000.0,50069365000.0,0.0,0.0,6650000.0,-6650000.0,1877380490.0,48191984510.0,일반회계,2022,0.0,개인정보보호위원회,52365000.0,0.0,0.0,0.0
손익계정,79021000000.0,79021000000.0,0.0,0.0,541356000.0,-541356000.0,4013132240.0,74971867760.0,경찰병원,2022,36000000.0,경찰청,0.0,0.0,0.0,0.0
자본계정,3563000000.0,3603822140.0,0.0,0.0,0.0,0.0,389583760.0,3214238380.0,경찰병원,2022,0.0,경찰청,40822140.0,0.0,0.0,0.0
제주특별자치도계정,4708000000.0,4708000000.0,0.0,0.0,0.0,0.0,0.0,4708000000.0,국가균형발전특별회계,2022,0.0,경찰청,0.0,0.0,0.0,0.0
,12209464000000.0,12231537568170.0,0.0,0.0,6043924000.0,-6043924000.0,215754314450.0,11997860842920.0,일반회계,2022,17922410800.0,경찰청,16388568170.0,5685000000.0,0.0,0.0
제주특별자치도계정,23796000000.0,23796000000.0,0.0,0.0,0.0,0.0,0.0,23796000000.0,국가균형발전특별회계,2022,0.0,고용노동부,0.0,0.0,0.0,0.0
지역지원계정,231939000000.0,231939000000.0,0.0,0.0,0.0,0.0,4035000430.0,227903999570.0,국가균형발전특별회계,2022,0.0,고용노동부,0.0,0.0,0.0,0.0
투자계정,90955000000.0,90955000000.0,0.0,0.0,0.0,0.0,39377570.0,90915622430.0,에너지및자원사업특별회계,2022,0.0,고용노동부,0.0,0.0,0.0,0.0
,10207958000000.0,10247823966500.0,0.0,0.0,39520143000.0,-39520143000.0,1599597946290.0,8645624419830.0,일반회계,2022,2601600380.0,고용노동부,1865966500.0,38000000000.0,0.0,0.0
,19777000000.0,23721358580.0,0.0,0.0,67305000.0,-67305000.0,3786134810.0,18301839120.0,일반회계,2022,1633384650.0,고위공직자범죄수사처,3944358580.0,0.0,0.0,0.0
,157024750000.0,158607889400.0,0.0,0.0,325063240.0,-325063240.0,1804264320.0,154840621080.0,일반회계,2022,1963004000.0,공정거래위원회,1583139400.0,0.0,0.0,0.0
세종특별자치시계정,533000000.0,533000000.0,0.0,0.0,0.0,0.0,0.0,533000000.0,국가균형발전특별회계,2022,0.0,과학기술정보통신부,0.0,0.0,0.0,0.0
제주특별자치도계정,533000000.0,533000000.0,0.0,0.0,0.0,0.0,0.0,533000000.0,국가균형발전특별회계,2022,0.0,과학기술정보통신부,0.0,0.0,0.0,0.0
지역지원계정,460366000000.0,478954000000.0,0.0,0.0,0.0,0.0,0.0,478954000000.0,국가균형발전특별회계,2022,0.0,과학기술정보통신부,18588000000.0,0.0,0.0,0.0
손익계정,29226000000.0,29226000000.0,0.0,0.0,484697000.0,-484697000.0,1610733410.0,27559066590.0,국립과천과학관,2022,56200000.0,과학기술정보통신부,0.0,0.0,0.0,0.0
자본계정,7224000000.0,7991084810.0,0.0,0.0,449500000.0,-449500000.0,365012940.0,7076471870.0,국립과천과학관,2022,549600000.0,과학기술정보통신부,767084810.0,0.0,0.0,0.0
손익계정,29734000000.0,29811895000.0,0.0,0.0,224601000.0,-224601000.0,906176910.0,28905718090.0,국립중앙과학관,2022,0.0,과학기술정보통신부,77895000.0,0.0,0.0,0.0
자본계정,5539000000.0,5539000000.0,0.0,0.0,0.0,0.0,312867670.0,5226132330.0,국립중앙과학관,2022,0.0,과학기술정보통신부,0.0,0.0,0.0,0.0
,445898000000.0,445898000000.0,0.0,0.0,0.0,0.0,727000000.0,445171000000.0,소재부품장비경쟁력강화특별회계,2022,0.0,과학기술정보통신부,0.0,0.0,0.0,0.0
투자계정,429240000000.0,429240000000.0,0.0,0.0,0.0,0.0,7107688000.0,422132312000.0,에너지및자원사업특별회계,2022,0.0,과학기술정보통신부,0.0,0.0,0.0,0.0
,1028411000000.0,1028746025000.0,13300000000.0,-13300000000.0,298000000.0,-298000000.0,179353983650.0,849108016350.0,우체국보험특별회계,2022,284025000.0,과학기술정보통신부,335025000.0,0.0,0.0,0.0
손익계정,4195650000000.0,4196038665000.0,0.0,0.0,0.0,0.0,524362338670.0,3671416456700.0,우체국예금특별회계,2022,259869630.0,과학기술정보통신부,388665000.0,0.0,0.0,0.0
자본계정,17026000000.0,17120800000.0,0.0,0.0,0.0,0.0,502407270.0,15044121130.0,우체국예금특별회계,2022,1574271600.0,과학기술정보통신부,94800000.0,0.0,0.0,0.0
손익계정,4495923000000.0,4496270071740.0,49894000000.0,-49894000000.0,33619000000.0,-33619000000.0,166166417100.0,4329702525550.0,우편사업특별회계,2022,401129090.0,과학기술정보통신부,347071740.0,0.0,0.0,0.0
자본계정,148945000000.0,172572290350.0,0.0,0.0,0.0,0.0,7116801800.0,153224703390.0,우편사업특별회계,2022,12230785160.0,과학기술정보통신부,23627290350.0,0.0,0.0,0.0
,8475523500000.0,8541271148400.0,0.0,0.0,1860516000.0,-1860516000.0,63382281050.0,8466559378890.0,일반회계,2022,11329488460.0,과학기술정보통신부,65747648400.0,0.0,0.0,0.0
,611608000000.0,612971466470.0,30000000.0,-30000000.0,513544000.0,-513544000.0,19843640940.0,589268675950.0,일반회계,2022,3859149580.0,관세청,1363466470.0,0.0,0.0,0.0
지역지원계정,1264689000000.0,1338996692800.0,0.0,0.0,0.0,0.0,0.0,1338996692800.0,국가균형발전특별회계,2022,0.0,교육부,74307692800.0,0.0,0.0,0.0
,3829046000000.0,3829046000000.0,0.0,0.0,0.0,0.0,0.0,3829046000000.0,유아교육지원특별회계,2022,0.0,교육부,0.0,0.0,0.0,0.0
,94233013000000.0,94272631514560.0,2797200000.0,-3055997000.0,31516140000.0,-31516140000.0,155017409230.0,94104242987020.0,일반회계,2022,13371118310.0,교육부,16941237560.0,11566000000.0,0.0,11370074000.0
,0.0,1455299000.0,258797000.0,0.0,0.0,0.0,207305440.0,1220447370.0,일반회계,2022,27546190.0,국가교육위원회,0.0,1196502000.0,0.0,0.0
제주특별자치도계정,2240000000.0,2240000000.0,0.0,0.0,0.0,0.0,0.0,2240000000.0,국가균형발전특별회계,2022,0.0,국가보훈처,0.0,0.0,0.0,0.0
투자계정,16990000000.0,16990000000.0,0.0,0.0,0.0,0.0,5860063600.0,11129936400.0,에너지및자원사업특별회계,2022,0.0,국가보훈처,0.0,0.0,0.0,0.0
,5722585000000.0,5741415637640.0,1132950000.0,-1132950000.0,39802663000.0,-39802663000.0,57475113110.0,5649679918350.0,일반회계,2022,34260606180.0,국가보훈처,18830637640.0,0.0,0.0,0.0
,39024000000.0,41467621410.0,0.0,0.0,45455000.0,-45455000.0,2362150380.0,39105471030.0,일반회계,2022,0.0,국가인권위원회,406369410.0,2037252000.0,0.0,0.0
,831200000000.0,839725550500.0,0.0,0.0,0.0,0.0,52839758480.0,778472944330.0,일반회계,2022,8412847690.0,국가정보원,8525550500.0,0.0,0.0,0.0
투자계정,12253000000.0,12253000000.0,0.0,0.0,0.0,0.0,1225300000.0,11027700000.0,에너지및자원사업특별회계,2022,0.0,국무조정실 및 국무총리비서실,0.0,0.0,0.0,0.0
,642468000000.0,650574124410.0,0.0,0.0,1187112000.0,-1187112000.0,31189143810.0,618832011600.0,일반회계,2022,552969000.0,국무조정실 및 국무총리비서실,4138624410.0,3967500000.0,0.0,0.0
,92793000000.0,92793000000.0,0.0,0.0,1190075000.0,-1190075000.0,4308560700.0,88484439300.0,일반회계,2022,0.0,국민권익위원회,0.0,0.0,0.0,0.0
,766543000000.0,941979237180.0,0.0,0.0,3730879600.0,-3730879600.0,253122888750.0,456769118450.0,국방·군사시설이전특별회계,2022,232087229980.0,국방부,175436237180.0,0.0,0.0,0.0
,36967628000000.0,37930971371250.0,219634627700.0,-219634627700.0,433252442810.0,-433252442810.0,590921318080.0,36480400100180.0,일반회계,2022,859649952990.0,국방부,951508139250.0,11835232000.0,0.0,0.0
,771635000000.0,826638019760.0,0.0,0.0,210000000.0,-210000000.0,9124041910.0,784150197950.0,주한미군기지이전특별회계,2022,33363779900.0,국방부,55003019760.0,0.0,0.0,0.0
,1921878000000.0,1922221000000.0,43977292000.0,-43977292000.0,19764321000.0,-19764321000.0,21639294070.0,1900294158010.0,일반회계,2022,287547920.0,국세청,0.0,0.0,0.0,343000000.0
