단위사업명,1월집행금액,2월집행금액,3월집행금액,4월집행금액,5월집행금액,6월집행금액,7월집행금액,8월집행금액,9월집행금액,10월집행금액,11월집행금액,12월집행금액,회계명,회계연도,소관명,연간계획
경찰복지증진,66.0,72.0,219.0,228.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,일반회계,2023,경찰청,677.0
경찰장비현대화,22.0,39.0,88.0,134.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,일반회계,2023,경찰청,1412.0
교통사고예방,252.0,405.0,621.0,629.0,733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,일반회계,2023,경찰청,1486.0
수사지원 및 수사역량강화,125.0,160.0,217.0,245.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,일반회계,2023,경찰청,1236.0
정책연구개발(R&D),4.0,483.0,670.0,666.0,667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,일반회계,2023,경찰청,674.0
치안행정업무지원,7.0,9.0,39.0,77.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,일반회계,2023,경찰청,1183.0
한국기술교육대학교출연,0.0,93.0,181.0,228.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,고등·평생교육지원특별회계,2023,고용노동부,510.0
한국폴리텍대학출연,144.0,284.0,431.0,669.0,1179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,고등·평생교육지원특별회계,2023,고용노동부,2894.0
진폐근로자보호,87.0,193.0,262.0,349.0,371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,에너지및자원사업특별회계,2023,고용노동부,891.0
고용지원인프라운영,17.0,40.0,241.0,357.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,일반회계,2023,고용노동부,858.0
국민취업지원제도,134.0,256.0,335.0,463.0,556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,일반회계,2023,고용노동부,1495.0
사회적기업육성,452.0,482.0,515.0,708.0,729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,일반회계,2023,고용노동부,846.0
청년진로및취업지원(일반),71.0,249.0,612.0,709.0,1082.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,일반회계,2023,고용노동부,1788.0
한국기술교육대학교출연,98.0,195.0,240.0,322.0,406.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,일반회계,2023,고용노동부,802.0
한국산업인력공단출연,324.0,647.0,969.0,1184.0,1403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,일반회계,2023,고용노동부,2158.0
