단위사업코드,단위사업명,예산,당월집행액,집행월,분야코드,분야명,회계,회계명,회계년도,소관,소관명,프로그램코드,프로그램명,부문코드,부문명,누계집행액
1131,정보활동,892100000000.0,172100000000.0,02,010,일반·지방행정,110,일반회계,2024,004,국가정보원,1100,국가정보지원,016,일반행정,334400000000.0
1101,인건비,94182000000.0,6964689890.0,02,010,일반·지방행정,110,일반회계,2024,005,감사원,1100,감사활동 및 행정지원,016,일반행정,14378198850.0
1111,기본경비,13451000000.0,1150399740.0,02,010,일반·지방행정,110,일반회계,2024,005,감사원,1100,감사활동 및 행정지원,016,일반행정,2455425650.0
1131,감사활동경비,17324726690.0,1390805210.0,02,010,일반·지방행정,110,일반회계,2024,005,감사원,1100,감사활동 및 행정지원,016,일반행정,3023352860.0
1133,청사 및 시설물 관리,4169736260.0,320593160.0,02,010,일반·지방행정,110,일반회계,2024,005,감사원,1100,감사활동 및 행정지원,016,일반행정,347455660.0
1134,전산운영경비,15919791060.0,29064030.0,02,010,일반·지방행정,110,일반회계,2024,005,감사원,1100,감사활동 및 행정지원,016,일반행정,67915480.0
1135,국제교류협력강화,1146000000.0,11814970.0,02,010,일반·지방행정,110,일반회계,2024,005,감사원,1100,감사활동 및 행정지원,016,일반행정,366653970.0
1142,수입대체경비,574000000.0,28536650.0,02,010,일반·지방행정,110,일반회계,2024,005,감사원,1100,감사활동 및 행정지원,016,일반행정,34736650.0
1151,감사연구활동경비,568000000.0,9272110.0,02,010,일반·지방행정,110,일반회계,2024,005,감사원,1100,감사활동 및 행정지원,016,일반행정,55079400.0
1031,의정지원,78204224060.0,5161131390.0,02,010,일반·지방행정,110,일반회계,2024,006,국회,1000,의정활동지원,011,입법및선거관리,8355841190.0
1032,위원회운영지원,15860864000.0,1300051220.0,02,010,일반·지방행정,110,일반회계,2024,006,국회,1000,의정활동지원,011,입법및선거관리,2979949410.0
1033,의회외교,20301636000.0,1751768310.0,02,010,일반·지방행정,110,일반회계,2024,006,국회,1000,의정활동지원,011,입법및선거관리,3013037740.0
1034,국회활동관련단체지원,11590000000.0,628785820.0,02,010,일반·지방행정,110,일반회계,2024,006,국회,1000,의정활동지원,011,입법및선거관리,2423191820.0
1035,예비금,1300000000.0,0.0,02,010,일반·지방행정,110,일반회계,2024,006,국회,1000,의정활동지원,011,입법및선거관리,0.0
2031,의회운영지원,26403915000.0,1281426370.0,02,010,일반·지방행정,110,일반회계,2024,006,국회,2000,국회사무처운영,011,입법및선거관리,4438140160.0
2032,법제활동지원,776500000.0,50475000.0,02,010,일반·지방행정,110,일반회계,2024,006,국회,2000,국회사무처운영,011,입법및선거관리,152818000.0
2033,국회청사확보및시설관리,54098390800.0,3466702190.0,02,010,일반·지방행정,110,일반회계,2024,006,국회,2000,국회사무처운영,011,입법및선거관리,5668333230.0
2034,입법정보화,51540173010.0,1522248050.0,02,010,일반·지방행정,110,일반회계,2024,006,국회,2000,국회사무처운영,011,입법및선거관리,2070154910.0
2035,의회운영교육 수입대체경비,428000000.0,1136960.0,02,010,일반·지방행정,110,일반회계,2024,006,국회,2000,국회사무처운영,011,입법및선거관리,119680960.0
2036,국회방송운영,18083471780.0,983965390.0,02,010,일반·지방행정,110,일반회계,2024,006,국회,2000,국회사무처운영,011,입법및선거관리,1554125470.0
3031,도서관운영지원,13698000000.0,768352980.0,02,010,일반·지방행정,110,일반회계,2024,006,국회,3000,국회도서관운영,011,입법및선거관리,2610895670.0
3035,전자도서관운영,31451000000.0,656150720.0,02,010,일반·지방행정,110,일반회계,2024,006,국회,3000,국회도서관운영,011,입법및선거관리,797355060.0
4031,예산정책처운영지원,3719972710.0,179232110.0,02,010,일반·지방행정,110,일반회계,2024,006,국회,4000,예산정책처운영,011,입법및선거관리,1284979540.0
4033,예산정책처정보화,969000000.0,38762030.0,02,010,일반·지방행정,110,일반회계,2024,006,국회,4000,예산정책처운영,011,입법및선거관리,44510030.0
5031,입법조사처운영지원,2262000000.0,0.0,02,010,일반·지방행정,110,일반회계,2024,006,국회,5000,입법조사처운영,011,입법및선거관리,0.0
5033,입법조사처 정보화,996000000.0,0.0,02,010,일반·지방행정,110,일반회계,2024,006,국회,5000,입법조사처운영,011,입법및선거관리,0.0
7001,사무처 인건비,350374000000.0,32238321060.0,02,010,일반·지방행정,110,일반회계,2024,006,국회,7000,국회행정지원,011,입법및선거관리,57477620020.0
