회계연도,집행월,소관,소관명,회계,회계명,분야코드,분야명,부문코드,부문명,프로그램코드,프로그램명,단위사업코드,단위사업명,예산,당월집행액,누계집행액
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,113,무역및투자유치,1100,무역진흥,1133,전략물자수출입통제기반구축,6866000000,2405000000,2405000000
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,113,무역및투자유치,1100,무역진흥,1136,대한상사중재원지원,933000000,311000000,311000000
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,113,무역및투자유치,1100,무역진흥,1138,무역금융지원,1.35E+11,35000000000,35000000000
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,113,무역및투자유치,1100,무역진흥,1139,수출역량강화,3.84E+11,94770030000,94770030000
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,113,무역및투자유치,1200,무역구제,1233,무역구제지원,1734000000,165318110,165318110
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,113,무역및투자유치,1900,통상협력지원,1931,양자간통상협력지원,32966104200,58000000,58000000
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,113,무역및투자유치,1900,통상협력지원,1932,다자간통상협력지원,2800400000,239115000,239115000
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,113,무역및투자유치,1900,통상협력지원,1935,통상협정국내대책추진,12325600000,1242200000,1242200000
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,113,무역및투자유치,1900,통상협력지원,1936,통상분쟁대응,11119436000,668026850,668026850
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,113,무역및투자유치,1900,통상협력지원,1937,자유무역협정체결,5654000000,966395070,966395070
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,115,에너지및자원개발,8000,회계간거래(전출금),8011,회계간전출(일반회계),15860000000,0,0
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,116,산업·중소기업일반,7100,산업통상자원부행정지원,7101,본부인건비,84784000000,7191581230,7191581230
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,116,산업·중소기업일반,7100,산업통상자원부행정지원,7102,소속기관인건비,32067000000,2764670790,2764670790
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,116,산업·중소기업일반,7100,산업통상자원부행정지원,7111,본부기본경비,15606060000,2990433170,2990433170
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,116,산업·중소기업일반,7100,산업통상자원부행정지원,7118,소속기관기본경비,6204503000,414897940,414897940
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,116,산업·중소기업일반,7100,산업통상자원부행정지원,7131,산업통상자원행정정보시스템구축,2855000000,90000000,90000000
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,116,산업·중소기업일반,7100,산업통상자원부행정지원,7132,행정능률향상및능력개발,830900000,46200000,46200000
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,116,산업·중소기업일반,7100,산업통상자원부행정지원,7133,본부정책수립운영,1805789550,153840120,153840120
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,116,산업·중소기업일반,7100,산업통상자원부행정지원,7134,국가기술표준원정책수립운영,3217000000,80648070,80648070
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,116,산업·중소기업일반,7100,산업통상자원부행정지원,7135,소속기관기타행정지원,6807869000,189837890,189837890
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,116,산업·중소기업일반,7100,산업통상자원부행정지원,7136,공동시설관리수입대체경비,925000000,50635350,50635350
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,116,산업·중소기업일반,7100,산업통상자원부행정지원,7142,사이버안전센터구축운영,2253328000,14520000,14520000
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,117,산업혁신지원,3100,산업경쟁력기반구축,3133,산업경쟁력분석,6474567430,0,0
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,117,산업혁신지원,3100,산업경쟁력기반구축,3134,사업재편지원기반구축,1992000000,0,0
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,117,산업혁신지원,3100,산업경쟁력기반구축,3147,글로벌환경규제대응및자원생산성기반구축,1428000000,0,0
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,117,산업혁신지원,3100,산업경쟁력기반구축,3160,생산성향상지원,7994000000,0,0
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,117,산업혁신지원,3100,산업경쟁력기반구축,3161,인력양성(일반회계),1.55E+11,0,0
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,117,산업혁신지원,3100,산업경쟁력기반구축,3162,대중소생산성혁신파트너십지원,1425000000,0,0
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,117,산업혁신지원,3100,산업경쟁력기반구축,3171,산업기술기반구축,4.81E+11,81425077000,81425077000
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,117,산업혁신지원,3100,산업경쟁력기반구축,3172,다부처기술개발,43979000000,19576000000,19576000000
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,117,산업혁신지원,3100,산업경쟁력기반구축,3173,공공기술개발,1.12E+11,33892000000,33892000000
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,117,산업혁신지원,3100,산업경쟁력기반구축,3174,우수기술역량강화,97824000000,56670000000,56670000000
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,117,산업혁신지원,3100,산업경쟁력기반구축,3175,미래성장동력,96801012000,48224000000,48224000000
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,117,산업혁신지원,3300,지역경제활성화,3331,자유무역지역조성,20731691360,301755480,301755480
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,117,산업혁신지원,3300,지역경제활성화,3333,기업입지환경개선,4.83E+11,64357000000,64357000000
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,117,산업혁신지원,3300,지역경제활성화,3334,국가균형발전위원회운영,4137772110,427649500,427649500
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,117,산업혁신지원,3500,주력산업진흥,3534,주력산업국제협력,209000000,209000000,209000000
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,117,산업혁신지원,3500,주력산업진흥,3535,섬유패션생활용품산업육성,29195000000,0,0
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,117,산업혁신지원,3500,주력산업진흥,3544,방산물자교역지원센터운영,990000000,0,0
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,117,산업혁신지원,3500,주력산업진흥,3571,시스템산업기술개발,4.77E+11,1.90E+11,1.90E+11
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,117,산업혁신지원,3500,주력산업진흥,3573,소재부품산업기술개발,5.35E+11,1.04E+11,1.04E+11
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,117,산업혁신지원,3500,주력산업진흥,3574,뿌리산업육성지원,12780000000,0,0
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,117,산업혁신지원,3600,신산업진흥,3649,바이오산업육성,11638000000,0,0
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,117,산업혁신지원,3600,신산업진흥,3672,로봇산업진흥,18064000000,9586000000,9586000000
2019,1,94,산업통상자원부,110,일반회계,110,산업·중소기업및에너지,117,산업혁신지원,3600,신산업진흥,3688,산업융합및창의산업진흥,36353000000,0,0
