단위사업명,예산액,예산현액,당월지출금액,집행월,분야명,회계명,회계연도,소관명,프로그램명,세부사업명,부문명,누계지출금액
518 진상규명 지원,1760000000,1760000000,0,202402,일반·지방행정,일반회계,2024,5·18민주화운동 진상규명조사위원회,518 진상규명조사위원회 운영,518 진상규명지원,일반행정,0
기본경비,2897000000,2897000000,0,202402,일반·지방행정,일반회계,2024,5·18민주화운동 진상규명조사위원회,518 진상규명조사위원회 운영,위원회 기본경비,일반행정,0
인건비,2231000000,2231000000,0,202402,일반·지방행정,일반회계,2024,5·18민주화운동 진상규명조사위원회,518 진상규명조사위원회 운영,공무원 인건비,일반행정,0
감사연구활동경비,508000000,568000000,9272110,202402,일반·지방행정,일반회계,2024,감사원,감사활동 및 행정지원,감사연구활동경비,일반행정,55079400
감사활동경비,16938000000,17061726690,1384556610,202402,일반·지방행정,일반회계,2024,감사원,감사활동 및 행정지원,감사활동경비,일반행정,3002824260
감사활동경비,263000000,263000000,6248600,202402,일반·지방행정,일반회계,2024,감사원,감사활동 및 행정지원,적극행정 지원,일반행정,20528600
국제교류협력강화,292000000,292000000,2700000,202402,일반·지방행정,일반회계,2024,감사원,감사활동 및 행정지원,감사기구 역량강화(ODA),일반행정,5400000
국제교류협력강화,854000000,854000000,9114970,202402,일반·지방행정,일반회계,2024,감사원,감사활동 및 행정지원,국제교류협력강화,일반행정,361253970
기본경비,13451000000,13451000000,1150399740,202402,일반·지방행정,일반회계,2024,감사원,감사활동 및 행정지원,기본경비,일반행정,2455425650
수입대체경비,574000000,574000000,28536650,202402,일반·지방행정,일반회계,2024,감사원,감사활동 및 행정지원,감사교육원 수입대체경비,일반행정,34736650
인건비,94182000000,94182000000,6964689890,202402,일반·지방행정,일반회계,2024,감사원,감사활동 및 행정지원,인건비,일반행정,14378198850
전산운영경비,15865000000,15919791060,29064030,202402,일반·지방행정,일반회계,2024,감사원,감사활동 및 행정지원,전산운영경비(정보화),일반행정,67915480
청사 및 시설물 관리,3240000000,4169736260,320593160,202402,일반·지방행정,일반회계,2024,감사원,감사활동 및 행정지원,노후시설 개보수 및 업무시설 정비,일반행정,347455660
개인정보보호위원회 기본경비,165000000,165000000,40000000,202402,일반·지방행정,일반회계,2024,개인정보보호위원회,개인정보보호행정지원,위원회기본경비(개인정보정책국),일반행정,64000000
개인정보보호위원회 기본경비,739000000,739000000,13994850,202402,일반·지방행정,일반회계,2024,개인정보보호위원회,개인정보보호행정지원,위원회기본경비(기관운영),일반행정,77644850
