사업규모설명,회계연도,소관명,총사업비,사업유형대분류,사업유형중분류,사업유형,설계비,기타관리금액,시설부대비,총사업비명,보상비,예비비,감리비,공사비
,2023,감사원,27794,건축,업무시설(공공청사),업무시설(공공청사),1151,0,104,감사원 제1별관 재건축 공사,0,0,1991,24548
,2023,경찰청,41161,건축,숙박시설(수련원),숙박시설(수련원),1369,0,86,강릉경찰수련원 신축,0,0,2458,37248
,2023,경찰청,21361,건축,숙박시설(수련원),숙박시설(수련원),648,0,34,경남 남해경찰수련원 신축,5993,0,1103,13583
,2023,경찰청,26185,건축,업무시설(공공청사),업무시설(공공청사),1009,0,52,가평경찰서 신축,0,0,2547,22577
,2023,경찰청,40063,건축,업무시설(공공청사),업무시설(공공청사),1772,0,82,강릉경찰서 신축,0,0,2855,35354
,2023,경찰청,30660,건축,업무시설(공공청사),업무시설(공공청사),1416,0,63,강원청 수사동 증축,0,0,1747,27434
,2023,경찰청,32350,건축,업무시설(공공청사),업무시설(공공청사),1393,0,33,경기경찰청 통합숙영시설 신축,16007,0,876,14041
,2023,경찰청,49963,건축,업무시설(공공청사),업무시설(공공청사),2353,0,104,경기남부 수원남부경찰서 재건축,0,0,2314,45192
,2023,경찰청,42958,건축,업무시설(공공청사),업무시설(공공청사),1598,0,62,경기남부 시흥남부 경찰서 신설 신축,8805,3591,1737,27165
,2023,경찰청,73004,건축,업무시설(공공청사),업무시설(공공청사),1783,0,70,경기남부 용인수지경찰서 신설 신축,35441,3414,1865,30431
,2023,경찰청,27462,건축,업무시설(공공청사),업무시설(공공청사),1252,0,54,경기남부지방경찰청 양평경찰서 신축사업,397,0,2098,23661
,2023,경찰청,31773,건축,업무시설(공공청사),업무시설(공공청사),977,0,56,경기남부지방경찰청 여주경찰서 신축사업,4314,0,1611,24815
,2023,경찰청,25356,건축,업무시설(공공청사),업무시설(공공청사),1188,0,52,경기남부청 사건기록관 신축,0,0,1527,22589
,2023,경찰청,36795,건축,업무시설(공공청사),업무시설(공공청사),1390,0,114,경기남부청 수사동 증축,0,0,2283,33008
,2023,경찰청,35432,건축,업무시설(공공청사),업무시설(공공청사),1388,0,74,경기지방경찰청 광명경찰서 신축,0,0,2240,31730
,2023,경찰청,30050,건축,업무시설(공공청사),업무시설(공공청사),1137,0,47,경남 거제경찰서 신축,7350,0,1370,20146
,2023,경찰청,22792,건축,업무시설(공공청사),업무시설(공공청사),924,0,45,경남 남해경찰서 이전 신축,1896,0,201,19726
,2023,경찰청,42550,건축,업무시설(공공청사),업무시설(공공청사),1923,0,87,경남경찰청 본관동 증축,0,0,2556,37984
,2023,경찰청,20207,건축,업무시설(공공청사),업무시설(공공청사),1097,0,35,경북청 경찰특공대 신설 신축,4544,0,148,14383
,2023,경찰청,27399,건축,업무시설(공공청사),업무시설(공공청사),1370,0,56,경주경찰서 신축,0,0,1555,24418
,2023,경찰청,47312,건축,업무시설(공공청사),업무시설(공공청사),2125,0,98,경찰수사연수원 수사교육동 증축,0,0,2419,42670
,2023,경찰청,23079,건축,업무시설(공공청사),업무시설(공공청사),862,0,44,경찰청 경북 울릉경찰서 이전 신축,2506,0,1351,18316
,2023,경찰청,49444,건축,업무시설(공공청사),업무시설(공공청사),1891,0,103,경찰청 별관동 증축공사,0,0,2708,44742
,2023,경찰청,37477,건축,업무시설(공공청사),업무시설(공공청사),1562,0,77,경찰청 서울지방경찰청 구로경찰서 청사신축,0,0,2500,33338
,2023,경찰청,32206,건축,업무시설(공공청사),업무시설(공공청사),1563,0,66,경찰청 종합교육훈련센터 신축,0,0,1801,28776
,2023,경찰청,49472,건축,업무시설(공공청사),업무시설(공공청사),1815,0,82,광주 중부경찰서 신설 신축,10049,0,2077,35449
,2023,경찰청,37193,건축,업무시설(공공청사),업무시설(공공청사),2040,0,69,광주동부서 신청사 신축공사,3491,0,1721,29872
,2023,경찰청,32168,건축,업무시설(공공청사),업무시설(공공청사),1456,0,65,대구달성경찰서 신축,0,0,2417,28230
,2023,경찰청,45892,건축,업무시설(공공청사),업무시설(공공청사),2119,0,95,대구북부경찰서 신축공사,0,0,2355,41323
,2023,경찰청,40477,건축,업무시설(공공청사),업무시설(공공청사),1777,0,82,대구중부경찰서 신축,0,0,2856,35762
,2023,경찰청,33663,건축,업무시설(공공청사),업무시설(공공청사),1599,0,70,대전청 수사동 증축,0,0,1861,30133
,2023,경찰청,72134,건축,업무시설(공공청사),업무시설(공공청사),1391,0,72,방배경찰서 신축,35322,0,2699,32650
,2023,경찰청,48890,건축,업무시설(공공청사),업무시설(공공청사),1910,0,153,부산 금정경찰서 신축,0,0,2607,44220
,2023,경찰청,41171,건축,업무시설(공공청사),업무시설(공공청사),1847,0,85,부산동부경찰서 신축,0,0,2119,37120
,2023,경찰청,36960,건축,업무시설(공공청사),업무시설(공공청사),1183,0,51,부산수영경찰서 신축공사,10075,0,2100,23551
,2023,경찰청,34230,건축,업무시설(공공청사),업무시설(공공청사),860,0,45,부산중부경찰서 신축,8150,0,1215,23960
,2023,경찰청,57781,건축,업무시설(공공청사),업무시설(공공청사),1658,0,120,부산해운대경찰서 신축,721,0,2961,52321
,2023,경찰청,58043,건축,업무시설(공공청사),업무시설(공공청사),2314,0,120,서대문경찰서 신축,0,0,2627,52982
,2023,경찰청,29290,건축,업무시설(공공청사),업무시설(공공청사),67,0,7,서울 강남경찰서 압구정파출소 이전신축,28000,0,15,1201
,2023,경찰청,49902,건축,업무시설(공공청사),업무시설(공공청사),2333,0,104,서울 서초경찰서 신축,0,0,2312,45153
,2023,경찰청,73814,건축,업무시설(공공청사),업무시설(공공청사),3310,0,130,서울 송파경찰서 신축,0,6710,3100,60564
