회계연도,회계월,소관,소관명,회계,회계명,수입관코드,수입관명,수입항코드,수입항명,수입목코드,수입목명,예산,수납본월금액,수납누계금액
2021,3,23,법제처,110,일반회계,11,재산수입,51,관유물대여료,512,건물대여료,0,0,12233450
2021,3,23,법제처,110,일반회계,12,경상이전수입,57,변상금및위약금,571,변상금,0,0,35551630
2021,3,23,법제처,110,일반회계,12,경상이전수입,58,가산금,581,가산금,0,0,26678300
2021,3,23,법제처,110,일반회계,12,경상이전수입,59,기타경상이전수입,596,기타경상이전수입,0,0,10121130
2021,3,24,국가보훈부,110,일반회계,11,재산수입,51,관유물대여료,511,토지대여료,42000000,0,42979250
2021,3,24,국가보훈부,110,일반회계,11,재산수입,51,관유물대여료,512,건물대여료,86000000,0,26161960
2021,3,24,국가보훈부,110,일반회계,11,재산수입,54,기타이자수입및재산수입,545,기타재산수입,398000000,61242320,74520510
2021,3,24,국가보훈부,110,일반회계,12,경상이전수입,56,"벌금,몰수금및과태료",563,과태료,67000000,0,0
2021,3,24,국가보훈부,110,일반회계,12,경상이전수입,57,변상금및위약금,571,변상금,4000000,0,0
2021,3,24,국가보훈부,110,일반회계,12,경상이전수입,57,변상금및위약금,572,위약금,13000000,0,0
2021,3,24,국가보훈부,110,일반회계,12,경상이전수입,59,기타경상이전수입,596,기타경상이전수입,7851000000,195839790,775433230
2021,3,24,국가보훈부,110,일반회계,13,재화및용역판매수입,65,면허료및수수료,651,면허료및수수료,2000000,0,580850
2021,3,24,국가보훈부,110,일반회계,13,재화및용역판매수입,69,잡수입,691,기타잡수입,322000000,40000,120000
2021,3,24,국가보훈부,110,일반회계,15,관유물매각대,71,고정자산매각대,713,기타고정자산매각대,35000000,0,0
2021,3,24,국가보훈부,216,에너지및자원사업특별회계,11,재산수입,54,기타이자수입및재산수입,545,기타재산수입,28000000,16716230,16717280
2021,3,24,국가보훈부,216,에너지및자원사업특별회계,12,경상이전수입,59,기타경상이전수입,596,기타경상이전수입,33000000,2198590,8089610
2021,3,24,국가보훈부,236,지역균형발전특별회계,12,경상이전수입,59,기타경상이전수입,596,기타경상이전수입,45000000,0,0
2021,3,24,국가보훈부,513,순국선열애국지사사업기금,11,재산수입,51,관유물대여료,511,토지대여료,49000000,1289260,14386370
2021,3,24,국가보훈부,513,순국선열애국지사사업기금,11,재산수입,51,관유물대여료,512,건물대여료,3450000000,688010630,949067230
2021,3,24,국가보훈부,513,순국선열애국지사사업기금,11,재산수입,54,기타이자수입및재산수입,545,기타재산수입,1720000000,39663950,981499926
2021,3,24,국가보훈부,513,순국선열애국지사사업기금,12,경상이전수입,57,변상금및위약금,571,변상금,0,755730,4033780
