FSCL_YY,EXE_M,OFFC_CD,OFFC_NM,FSCL_CD,FSCL_NM,IKWAN_CD,IKWAN_NM,IHANG_CD,IHANG_NM,BDG_AMT,BDG_CAMT,RC_AMT,RC_AGGR_AMT,RC_AGGR_NAMT
2018,01,004,국가정보원,110,일반회계,11,재산수입,54,기타이자수입및재산수입,1875000000,1875000000,0,0,0
2018,01,005,감사원,110,일반회계,11,재산수입,51,관유물대여료,22000000,22000000,0,0,0
2018,01,005,감사원,110,일반회계,12,경상이전수입,58,가산금,0,0,0,0,0
2018,01,005,감사원,110,일반회계,12,경상이전수입,59,기타경상이전수입,20000000,20000000,750,750,0
2018,01,005,감사원,110,일반회계,14,수입대체경비수입,69,잡수입,406000000,406000000,0,0,0
2018,01,006,국회,110,일반회계,11,재산수입,51,관유물대여료,696000000,696000000,1863030,1863030,0
2018,01,006,국회,110,일반회계,11,재산수입,54,기타이자수입및재산수입,5000000,5000000,108370,108370,0
2018,01,006,국회,110,일반회계,12,경상이전수입,57,변상금및위약금,33000000,33000000,3475080,3475080,0
2018,01,006,국회,110,일반회계,12,경상이전수입,59,기타경상이전수입,700000000,700000000,324879220,324879220,0
2018,01,006,국회,110,일반회계,13,재화및용역판매수입,65,면허료및수수료,120000000,120000000,0,0,0
2018,01,006,국회,110,일반회계,13,재화및용역판매수입,69,잡수입,569000000,569000000,30653070,30653070,0
2018,01,006,국회,110,일반회계,14,수입대체경비수입,69,잡수입,126000000,126000000,0,0,0
2018,01,006,국회,110,일반회계,15,관유물매각대,71,고정자산매각대,100000000,100000000,0,0,0
2018,01,007,대법원,110,일반회계,11,재산수입,51,관유물대여료,3257000000,3257000000,136093450,136093450,0
2018,01,007,대법원,110,일반회계,11,재산수입,54,기타이자수입및재산수입,40000000,40000000,11840,11840,0
2018,01,007,대법원,110,일반회계,12,경상이전수입,56,"벌금,몰수금및과태료",100000000,100000000,0,0,0
2018,01,007,대법원,110,일반회계,12,경상이전수입,57,변상금및위약금,235000000,235000000,3881830,3881830,0
2018,01,007,대법원,110,일반회계,12,경상이전수입,58,가산금,0,0,0,0,0
2018,01,007,대법원,110,일반회계,12,경상이전수입,59,기타경상이전수입,138144000000,138144000000,119003107470,119003107470,0
2018,01,007,대법원,110,일반회계,13,재화및용역판매수입,65,면허료및수수료,384140000000,384140000000,24828215800,24828215800,0
2018,01,007,대법원,110,일반회계,13,재화및용역판매수입,69,잡수입,146000000,146000000,10884470,10884470,0
2018,01,007,대법원,110,일반회계,15,관유물매각대,71,고정자산매각대,0,0,0,0,0
2018,01,007,대법원,110,일반회계,15,관유물매각대,72,토지및무형자산매각대,0,0,0,0,0
2018,01,007,대법원,110,일반회계,40,정부내부수입및기타,91,전입금,123640000000,123640000000,0,0,0
2018,01,007,대법원,215,등기특별회계,11,재산수입,51,관유물대여료,100000000,100000000,1851470,1851470,0
2018,01,007,대법원,215,등기특별회계,11,재산수입,54,기타이자수입및재산수입,148000000,148000000,0,0,0
2018,01,007,대법원,215,등기특별회계,12,경상이전수입,59,기타경상이전수입,30000000,30000000,0,0,0
2018,01,007,대법원,215,등기특별회계,13,재화및용역판매수입,65,면허료및수수료,331344000000,331344000000,19749101030,19749101030,0
2018,01,007,대법원,215,등기특별회계,13,재화및용역판매수입,69,잡수입,3000000,3000000,0,0,0
2018,01,007,대법원,215,등기특별회계,15,관유물매각대,71,고정자산매각대,936000000,936000000,266089500,266089500,0
2018,01,007,대법원,215,등기특별회계,15,관유물매각대,72,토지및무형자산매각대,10820685000,10820685000,9303910500,9303910500,0
2018,01,007,대법원,215,등기특별회계,33,전년도이월금,88,전년도이월금,20892000000,20892000000,0,0,0
2018,01,007,대법원,508,사법서비스진흥기금,12,경상이전수입,57,변상금및위약금,0,0,11907700,11907700,0
2018,01,007,대법원,508,사법서비스진흥기금,12,경상이전수입,58,가산금,0,0,0,0,0
2018,01,007,대법원,508,사법서비스진흥기금,12,경상이전수입,59,기타경상이전수입,52402000000,52402000000,23583570020,23583570020,0
2018,01,007,대법원,508,사법서비스진흥기금,13,재화및용역판매수입,69,잡수입,0,0,13280,13280,0
2018,01,007,대법원,508,사법서비스진흥기금,31,차입금및여유자금회수,85,정부예금회수,5934000000,5934000000,0,0,0
2018,01,008,헌법재판소,110,일반회계,12,경상이전수입,59,기타경상이전수입,1229000000,1229000000,0,0,0
2018,01,008,헌법재판소,110,일반회계,13,재화및용역판매수입,69,잡수입,18000000,18000000,0,0,0
2018,01,009,중앙선거관리위원회,110,일반회계,11,재산수입,51,관유물대여료,61000000,61000000,0,0,0
2018,01,009,중앙선거관리위원회,110,일반회계,11,재산수입,54,기타이자수입및재산수입,20000000,20000000,0,0,0
2018,01,009,중앙선거관리위원회,110,일반회계,12,경상이전수입,56,"벌금,몰수금및과태료",300000000,300000000,0,0,0
2018,01,009,중앙선거관리위원회,110,일반회계,12,경상이전수입,59,기타경상이전수입,3682000000,3682000000,168257380,168257380,0
2018,01,009,중앙선거관리위원회,110,일반회계,13,재화및용역판매수입,69,잡수입,30000000,30000000,1000000,1000000,0
2018,01,010,국무조정실 및 국무총리비서실,110,일반회계,12,경상이전수입,59,기타경상이전수입,0,0,149685830,149685830,0
2018,01,013,법무부,110,일반회계,11,재산수입,51,관유물대여료,1626000000,1626000000,175359200,175359200,0
2018,01,013,법무부,110,일반회계,11,재산수입,54,기타이자수입및재산수입,339000000,339000000,1700800,1700800,0
2018,01,013,법무부,110,일반회계,12,경상이전수입,56,"벌금,몰수금및과태료",1885525000000,1885525000000,110731056460,110731056460,0
2018,01,013,법무부,110,일반회계,12,경상이전수입,57,변상금및위약금,759000000,759000000,10969480,10969480,0
2018,01,013,법무부,110,일반회계,12,경상이전수입,58,가산금,12000000,12000000,54700,54700,0
2018,01,013,법무부,110,일반회계,12,경상이전수입,59,기타경상이전수입,7980000000,7980000000,102555660,102555660,0
2018,01,013,법무부,110,일반회계,13,재화및용역판매수입,65,면허료및수수료,1225000000,1225000000,218189080,218189080,0
2018,01,013,법무부,110,일반회계,13,재화및용역판매수입,69,잡수입,1429000000,1429000000,37198430,37198430,0
2018,01,013,법무부,110,일반회계,14,수입대체경비수입,65,면허료및수수료,14313000000,14313000000,788004250,788004250,0
2018,01,013,법무부,110,일반회계,14,수입대체경비수입,69,잡수입,526000000,526000000,5525800,5525800,0
2018,01,013,법무부,110,일반회계,15,관유물매각대,71,고정자산매각대,738000000,738000000,0,0,0
2018,01,013,법무부,219,교도작업특별회계,11,재산수입,54,기타이자수입및재산수입,0,0,1352530,1352530,0
2018,01,013,법무부,219,교도작업특별회계,12,경상이전수입,57,변상금및위약금,0,0,0,0,0
2018,01,013,법무부,219,교도작업특별회계,13,재화및용역판매수입,63,교도소수입,75966000000,75966000000,595899160,595899160,0
2018,01,013,법무부,219,교도작업특별회계,13,재화및용역판매수입,69,잡수입,338000000,338000000,30000,30000,0
2018,01,013,법무부,219,교도작업특별회계,33,전년도이월금,88,전년도이월금,8000000000,8000000000,0,0,0
2018,01,013,법무부,219,교도작업특별회계,40,정부내부수입및기타,92,예탁원금회수,43642000000,43642000000,0,0,0
2018,01,013,법무부,219,교도작업특별회계,40,정부내부수입및기타,95,예탁이자수입,1979000000,1979000000,0,0,0
2018,01,013,법무부,583,범죄피해자보호기금,11,재산수입,54,기타이자수입및재산수입,0,0,2546550,2546550,0
2018,01,013,법무부,583,범죄피해자보호기금,12,경상이전수입,57,변상금및위약금,1075000000,1075000000,36193300,36193300,0
2018,01,013,법무부,583,범죄피해자보호기금,12,경상이전수입,59,기타경상이전수입,0,0,1094980,1094980,0
