계정,계정명,예산금액,예산현액,회계일,회계,회계명,회계년도,수입항,수입항명,수입관,수입관명,전월수납누계금액,소관,소관명,수납누계금액,당일수납금액,당월수납누계금액
00,,0.0,0.0,20240417,110,일반회계,2024,56,"벌금,몰수금및과태료",12,경상이전수입,0.0,116,5·18민주화운동 진상규명조사위원회,5750000.0,0.0,5750000.0
00,,30000000.0,30000000.0,20240417,110,일반회계,2024,59,기타경상이전수입,12,경상이전수입,47539850.0,005,감사원,65424220.0,17884370.0,17884370.0
00,,600000000.0,600000000.0,20240417,110,일반회계,2024,69,잡수입,14,수입대체경비수입,85410150.0,005,감사원,112050150.0,0.0,26640000.0
00,,11000000.0,11000000.0,20240417,110,일반회계,2024,51,관유물대여료,11,재산수입,1024360.0,005,감사원,1024360.0,0.0,0.0
00,,104000000.0,104000000.0,20240417,110,일반회계,2024,69,잡수입,13,재화및용역판매수입,356180.0,005,감사원,356180.0,0.0,0.0
00,,7000000.0,7000000.0,20240417,110,일반회계,2024,58,가산금,12,경상이전수입,0.0,117,개인정보보호위원회,0.0,0.0,0.0
00,,1272000000.0,1272000000.0,20240417,110,일반회계,2024,59,기타경상이전수입,12,경상이전수입,764990.0,117,개인정보보호위원회,1141680940.0,0.0,1140915950.0
00,,39537000000.0,39537000000.0,20240417,110,일반회계,2024,56,"벌금,몰수금및과태료",12,경상이전수입,1358376280.0,117,개인정보보호위원회,1573421280.0,0.0,215045000.0
00,,1000000.0,1000000.0,20240417,110,일반회계,2024,57,변상금및위약금,12,경상이전수입,0.0,117,개인정보보호위원회,0.0,0.0,0.0
00,,15000000.0,15000000.0,20240417,110,일반회계,2024,54,기타이자수입및재산수입,11,재산수입,2421250.0,117,개인정보보호위원회,322436950.0,0.0,320015700.0
00,,1000000.0,1000000.0,20240417,110,일반회계,2024,65,면허료및수수료,13,재화및용역판매수입,0.0,117,개인정보보호위원회,0.0,0.0,0.0
00,,1000000.0,1000000.0,20240417,110,일반회계,2024,69,잡수입,13,재화및용역판매수입,0.0,117,개인정보보호위원회,0.0,0.0,0.0
02,손익계정,40000000.0,40000000.0,20240417,439,경찰병원,2024,59,기타경상이전수입,12,경상이전수입,3904430.0,037,경찰청,5975080.0,1401210.0,2070650.0
02,손익계정,0.0,0.0,20240417,439,경찰병원,2024,56,"벌금,몰수금및과태료",12,경상이전수입,500000.0,037,경찰청,1000000.0,500000.0,500000.0
02,손익계정,6000000.0,6000000.0,20240417,439,경찰병원,2024,57,변상금및위약금,12,경상이전수입,6450.0,037,경찰청,6450.0,0.0,0.0
02,손익계정,25000000.0,25000000.0,20240417,439,경찰병원,2024,71,고정자산매각대,15,관유물매각대,0.0,037,경찰청,0.0,0.0,0.0
02,손익계정,31700000000.0,31700000000.0,20240417,439,경찰병원,2024,49,책임운영기관사업수입,10,기업특별회계영업수입,6084942600.0,037,경찰청,6869215690.0,1590.0,784273090.0
02,손익계정,3184000000.0,3184000000.0,20240417,439,경찰병원,2024,89,세계잉여금이입액,34,세계잉여금,0.0,037,경찰청,0.0,0.0,0.0
02,손익계정,48000000.0,48000000.0,20240417,439,경찰병원,2024,51,관유물대여료,11,재산수입,0.0,037,경찰청,0.0,0.0,0.0
02,손익계정,1000000.0,1000000.0,20240417,439,경찰병원,2024,54,기타이자수입및재산수입,11,재산수입,0.0,037,경찰청,0.0,0.0,0.0
02,손익계정,6300000000.0,6300000000.0,20240417,439,경찰병원,2024,62,병원수입,13,재화및용역판매수입,1690816340.0,037,경찰청,1776357720.0,19000.0,85541380.0
02,손익계정,40000000.0,40000000.0,20240417,439,경찰병원,2024,69,잡수입,13,재화및용역판매수입,18082500.0,037,경찰청,18382500.0,0.0,300000.0
02,손익계정,45646000000.0,45646000000.0,20240417,439,경찰병원,2024,91,전입금,40,정부내부수입및기타,16220000000.0,037,경찰청,16220000000.0,0.0,0.0
01,자본계정,403000000.0,403000000.0,20240417,439,경찰병원,2024,89,세계잉여금이입액,34,세계잉여금,0.0,037,경찰청,0.0,0.0,0.0
01,자본계정,2000000.0,2000000.0,20240417,439,경찰병원,2024,96,기타,40,정부내부수입및기타,0.0,037,경찰청,0.0,0.0,0.0
01,자본계정,3951000000.0,3951000000.0,20240417,439,경찰병원,2024,91,전입금,40,정부내부수입및기타,521000000.0,037,경찰청,521000000.0,0.0,0.0
00,,36110000000.0,36110000000.0,20240417,110,일반회계,2024,58,가산금,12,경상이전수입,35550.0,037,경찰청,57910.0,0.0,22360.0
00,,11404000000.0,11404000000.0,20240417,110,일반회계,2024,59,기타경상이전수입,12,경상이전수입,4433124310.0,037,경찰청,5220961560.0,10328920.0,787837250.0
00,,1218215000000.0,1218215000000.0,20240417,110,일반회계,2024,56,"벌금,몰수금및과태료",12,경상이전수입,328664035050.0,037,경찰청,397178534120.0,4997669790.0,68514499070.0
