회계명,회계연도,소관명,발행이율,발행요청일자,잔액,상환일자,총발행금액,총상환금액
일반회계,2011,기획재정부,3.19,20110324,0.0,20110421,1000000000000.0,1000000000000.0
일반회계,2011,기획재정부,3.17,20110331,0.0,20110428,1000000000000.0,1000000000000.0
일반회계,2011,기획재정부,3.1,20110414,0.0,20110512,2000000000000.0,2000000000000.0
일반회계,2011,기획재정부,3.0,20110421,0.0,20110519,1000000000000.0,1000000000000.0
일반회계,2011,기획재정부,3.15,20110519,0.0,20110616,1000000000000.0,1000000000000.0
일반회계,2011,기획재정부,3.15,20110526,0.0,20110623,680000000000.0,680000000000.0
일반회계,2011,기획재정부,3.35,20110616,0.0,20110714,1500000000000.0,1500000000000.0
일반회계,2011,기획재정부,3.35,20110623,0.0,20110721,1500000000000.0,1500000000000.0
일반회계,2011,기획재정부,3.35,20110714,0.0,20110811,1000000000000.0,1000000000000.0
일반회계,2011,기획재정부,3.36,20110721,0.0,20110818,1000000000000.0,1000000000000.0
일반회계,2012,기획재정부,3.43,20120223,0.0,20120426,1000000000000.0,1000000000000.0
일반회계,2012,기획재정부,3.5,20120302,0.0,20120831,410000000000.0,410000000000.0
일반회계,2012,기획재정부,3.45,20120308,0.0,20120510,770000000000.0,770000000000.0
일반회계,2012,기획재정부,3.52,20120315,0.0,20120913,460000000000.0,460000000000.0
일반회계,2012,기획재정부,3.52,20120322,0.0,20120524,1000000000000.0,1000000000000.0
일반회계,2012,기획재정부,3.52,20120329,0.0,20120531,1000000000000.0,1000000000000.0
일반회계,2012,기획재정부,3.44,20120405,0.0,20120607,1000000000000.0,1000000000000.0
일반회계,2012,기획재정부,3.38,20120413,0.0,20120615,1000000000000.0,1000000000000.0
일반회계,2012,기획재정부,3.4,20120419,0.0,20120621,1000000000000.0,1000000000000.0
일반회계,2012,기획재정부,3.41,20120426,0.0,20120628,1000000000000.0,1000000000000.0
일반회계,2012,기획재정부,3.43,20120503,0.0,20120705,1000000000000.0,1000000000000.0
일반회계,2012,기획재정부,3.37,20120510,0.0,20120712,1000000000000.0,1000000000000.0
일반회계,2012,기획재정부,3.38,20120524,0.0,20120726,801000000000.0,801000000000.0
일반회계,2012,기획재정부,3.39,20120531,0.0,20120802,670000000000.0,670000000000.0
일반회계,2012,기획재정부,3.35,20120607,0.0,20120809,1000000000000.0,1000000000000.0
일반회계,2012,기획재정부,3.36,20120614,0.0,20120816,910000000000.0,910000000000.0
일반회계,2012,기획재정부,3.37,20120621,0.0,20120823,980000000000.0,980000000000.0
일반회계,2012,기획재정부,3.36,20120628,0.0,20120830,930000000000.0,930000000000.0
일반회계,2012,기획재정부,3.25,20120712,0.0,20120913,1000000000000.0,1000000000000.0
일반회계,2012,기획재정부,2.93,20120719,0.0,20120920,1000000000000.0,1000000000000.0
일반회계,2012,기획재정부,2.88,20120809,0.0,20121011,945000000000.0,945000000000.0
일반회계,2012,기획재정부,2.96,20120816,0.0,20121018,540000000000.0,540000000000.0
일반회계,2012,기획재정부,2.99,20120823,0.0,20121025,1000000000000.0,1000000000000.0
일반회계,2012,기획재정부,2.86,20120913,0.0,20121115,1000000000000.0,1000000000000.0
일반회계,2012,기획재정부,2.96,20120920,0.0,20121122,1000000000000.0,1000000000000.0
일반회계,2013,기획재정부,2.71,20130207,0.0,20130411,1000000000000.0,1000000000000.0
일반회계,2013,기획재정부,2.72,20130214,0.0,20130418,1000000000000.0,1000000000000.0
일반회계,2013,기획재정부,2.7,20130221,0.0,20130425,1000000000000.0,1000000000000.0
