계정명,전년도이전발생합계금액,전년도이전발생금액중이행기한도래액,전년도이전발생금액중이행기한미도래액,채권종류명,회계명,회계연도,소관명,이행기한도래합계금액,이행기한미도래합계금액,전년도말현재액,본년도발생합계금액,본년도발생금액중이행기한도래액,본년도발생금액중이행기한미도래액,총계금액
,0,0,0,재산수입,일반회계,2007,대통령비서실,0,0,0,0,0,0,0
,0,0,0,경상이전수입,일반회계,2007,대통령비서실,0,0,0,0,0,0,0
,0,0,0,관유물매각대,일반회계,2007,대통령비서실,0,0,0,0,0,0,0
,0,0,0,재산수입,일반회계,2007,대통령경호실(구),0,0,0,0,0,0,0
,0,0,0,경상이전수입,일반회계,2007,대통령경호실(구),0,0,0,0,0,0,0
,0,0,0,재화및용역판매수입,일반회계,2007,대통령경호실(구),0,0,0,0,0,0,0
,0,0,0,재산수입,일반회계,2007,감사원,0,0,0,0,0,0,0
,106164000,106164000,0,경상이전수입,일반회계,2007,감사원,106164000,0,106164000,0,0,0,106164000
,0,0,0,재화및용역판매수입,일반회계,2007,감사원,0,0,0,0,0,0,0
,0,0,0,관유물매각대,일반회계,2007,감사원,0,0,0,0,0,0,0
,83020000,0,83020000,기타수입,일반회계,2007,감사원,0,664544800,203690000,581524800,0,581524800,664544800
,0,0,0,재산수입,일반회계,2007,국회,0,0,0,0,0,0,0
,0,0,0,경상이전수입,일반회계,2007,국회,0,0,0,0,0,0,0
,0,0,0,재화및용역판매수입,일반회계,2007,국회,0,0,0,0,0,0,0
,0,0,0,관유물매각대,일반회계,2007,국회,0,0,0,0,0,0,0
,17826860,0,17826860,기타수입,일반회계,2007,국회,0,43558620,25812320,25731760,0,25731760,43558620
,0,0,0,재산수입,일반회계,2007,대법원,0,0,0,0,0,0,0
,37101300,36664020,437280,경상이전수입,일반회계,2007,대법원,45979620,437280,43701650,9315600,9315600,0,46416900
,0,0,0,재화및용역판매수입,일반회계,2007,대법원,0,0,0,0,0,0,0
,0,0,0,관유물매각대,일반회계,2007,대법원,0,0,0,0,0,0,0
,364784080,0,364784080,기타수입,일반회계,2007,대법원,0,365264080,364274080,480000,0,480000,365264080
,0,0,0,경상이전수입,등기특별회계,2007,대법원,0,0,0,0,0,0,0
,0,0,0,재화및용역판매수입,등기특별회계,2007,대법원,0,0,0,0,0,0,0
,0,0,0,관유물매각대,등기특별회계,2007,대법원,0,0,593925330,0,0,0,0
,1128897760,0,1128897760,기타수입,등기특별회계,2007,대법원,0,1128897760,1382010240,0,0,0,1128897760
,0,0,0,경상이전수입,일반회계,2007,헌법재판소,0,0,0,0,0,0,0
,0,0,0,기타수입,일반회계,2007,헌법재판소,0,0,0,0,0,0,0
,0,0,0,재산수입,일반회계,2007,중앙선거관리위원회,0,0,0,0,0,0,0
,0,0,0,경상이전수입,일반회계,2007,중앙선거관리위원회,0,0,0,0,0,0,0
,0,0,0,재화및용역판매수입,일반회계,2007,중앙선거관리위원회,0,0,0,0,0,0,0
,0,0,0,관유물매각대,일반회계,2007,중앙선거관리위원회,0,0,0,0,0,0,0
,2520000,0,2520000,기타수입,일반회계,2007,중앙선거관리위원회,0,2520000,25000000,0,0,0,2520000
,0,0,0,재산수입,일반회계,2007,국무조정실 및 국무총리비서실,0,0,0,0,0,0,0
,0,0,0,경상이전수입,일반회계,2007,국무조정실 및 국무총리비서실,0,0,38500000,0,0,0,0
,0,0,0,재화및용역판매수입,일반회계,2007,국무조정실 및 국무총리비서실,0,0,0,0,0,0,0
,0,0,0,융자회수금,일반회계,2007,국무조정실 및 국무총리비서실,0,0,0,0,0,0,0
,244980000,0,244980000,기타수입,일반회계,2007,국무조정실 및 국무총리비서실,0,244980000,243900000,0,0,0,244980000
,0,0,0,재산수입,복권기금,2007,국무조정실 및 국무총리비서실,3376170,0,4480370,3376170,3376170,0,3376170
,1408250510,1408250510,0,경상이전수입,복권기금,2007,국무조정실 및 국무총리비서실,3891592230,0,2718752670,2483341720,2483341720,0,3891592230
,0,0,0,재화및용역판매수입,복권기금,2007,국무조정실 및 국무총리비서실,0,14507946248,54894969758,14507946248,0,14507946248,14507946248
,0,0,0,예금및예탁금,복권기금,2007,국무조정실 및 국무총리비서실,0,90007019633,89487144415,90007019633,0,90007019633,90007019633
,2103599799,206673629,1896926170,기타수입,일반회계,2007,외교통상부,210414120,2731169885,2780538439,837984206,3740491,834243715,2941584005
,0,0,0,내국세,일반회계,2007,재정경제부,0,0,0,0,0,0,0
,1075817925,1075817925,0,방위세,일반회계,2007,재정경제부,1075831935,0,1799487975,14010,14010,0,1075831935
,30215450057,29361527037,853923020,교육세,일반회계,2007,재정경제부,31212093027,927241200,48803719128,1923884170,1850565990,73318180,32139334227
,33759527946,32717173456,1042354490,농어촌특별세,일반회계,2007,재정경제부,60154636956,1292900640,66855245467,27688009650,27437463500,250546150,61447537596
,8405974020,8371301360,34672660,재산수입,일반회계,2007,재정경제부,11704344900,3031208000,0,6329578880,3333043540,2996535340,14735552900
,66472045027,65087829697,1384215330,경상이전수입,일반회계,2007,재정경제부,75856819747,2327193690,5468840,11711968410,10768990050,942978360,78184013437
,0,0,0,재화및용역판매수입,일반회계,2007,재정경제부,2326290,0,0,2326290,2326290,0,2326290
,15322197190,11089344080,4232853110,관유물매각대,일반회계,2007,재정경제부,14935090140,35781960040,0,35394852990,3845746060,31549106930,50717050180
,70521010,0,70521010,융자회수금,일반회계,2007,재정경제부,0,70521010,82479220,0,0,0,70521010
,0,0,0,유가증권매각대,일반회계,2007,재정경제부,0,0,0,0,0,0,0
,496387370,0,496387370,기타수입,일반회계,2007,재정경제부,0,505734690,715154200,9347320,0,9347320,505734690
융자계정,0,0,0,재산수입,재정융자특별회계,2007,재정경제부,0,0,15981850,0,0,0,0
