당년도순원가,당년도수익,당년도총원가,구분,회계연도,전년도순원가,전년도수익,전년도총원가,소관명
0.0,0.0,0.0,비배분비용,2022,0.0,0.0,0.0,국가인권위원회
1128539435.0,0.0,0.0,(11)지급임차료,2022,999794319.0,0.0,0.0,국토교통부
235301468.0,0.0,0.0,(10)교육훈련비,2022,188181080.0,0.0,0.0,국토교통부
326814000.0,0.0,0.0,(9)피복비와급량비,2022,335282470.0,0.0,0.0,국토교통부
122016244.0,0.0,0.0,(8)지급보험료,2022,98667093.0,0.0,0.0,국토교통부
1909115352.0,0.0,0.0,(7)수도광열비,2022,1541746948.0,0.0,0.0,국토교통부
3017596681.0,0.0,0.0,(6)세금과공과,2022,3524902456.0,0.0,0.0,국토교통부
3583945735.0,0.0,0.0,(5)지급수수료,2022,3427805883.0,0.0,0.0,국토교통부
175543000.0,0.0,0.0,(4)광고선전비,2022,550092120.0,0.0,0.0,국토교통부
1601537390.0,0.0,0.0,(3)인쇄비,2022,1493084450.0,0.0,0.0,국토교통부
3868093743.0,0.0,0.0,(2)소모품비,2022,5136176122.0,0.0,0.0,국토교통부
55547087602.0,0.0,0.0,(1)복리후생비,2022,51655971579.0,0.0,0.0,국토교통부
97115713663.0,0.0,0.0,2.경비,2022,95811151635.0,0.0,0.0,국토교통부
304899622787.0,0.0,0.0,1.인건비,2022,303118004111.0,0.0,0.0,국토교통부
402015336450.0,0.0,0.0,관리운영비,2022,398929155746.0,0.0,0.0,국토교통부
248290785585.0,-6220703332.0,254511488917.0,42.산업단지개발및지원,2022,256043904471.0,-2428169959.0,258472074430.0,국토교통부
72197522080.0,0.0,72197522080.0,41.건축정책,2022,0.0,0.0,0.0,국토교통부
157339691518.0,0.0,157339691518.0,40.국토지리정보원운영,2022,103334524328.0,0.0,103334524328.0,국토교통부
214113048.0,0.0,0.0,(12)유류비,2022,175119180.0,0.0,0.0,국토교통부
2113318535.0,0.0,0.0,(13)수선유지비,2022,3516261320.0,0.0,0.0,국토교통부
5256900036.0,0.0,0.0,(14)여비교통비,2022,4831752858.0,0.0,0.0,국토교통부
526985033825.0,0.0,0.0,8.자산처분손실,2022,33405592613.0,0.0,0.0,국토교통부
694238120530.0,0.0,0.0,7.평가손실,2022,45974933855019.0,0.0,0.0,국토교통부
16302421546.0,0.0,0.0,6.이자비용,2022,17901922577.0,0.0,0.0,국토교통부
27926508835.0,0.0,0.0,5.대손상각비,2022,16907788171.0,0.0,0.0,국토교통부
11010091442.0,0.0,0.0,4.감가상각비,2022,7839162834.0,0.0,0.0,국토교통부
0.0,0.0,0.0,3.보전비,2022,13538568452.0,0.0,0.0,국토교통부
0.0,0.0,0.0,2.수선유지비,2022,75762620.0,0.0,0.0,국토교통부
0.0,0.0,0.0,1.지급수수료,2022,2734700.0,0.0,0.0,국토교통부
1935572564039.0,0.0,0.0,비배분비용,2022,46442444574622.0,0.0,0.0,국토교통부
479728857.0,0.0,0.0,(22)기타비용,2022,131945223.0,0.0,0.0,국토교통부
651673000.0,0.0,0.0,(21)연구개발비,2022,888171350.0,0.0,0.0,국토교통부
0.0,0.0,0.0,(20)평가손실,2022,324663562.0,0.0,0.0,국토교통부
3854701448.0,0.0,0.0,(19)감가상각비,2022,3838990629.0,0.0,0.0,국토교통부
5274868550.0,0.0,0.0,(18)보조비,2022,4453748530.0,0.0,0.0,국토교통부
127845470.0,0.0,0.0,(17)보전비,2022,16660433.0,0.0,0.0,국토교통부
3495018120.0,0.0,0.0,(16)외주용역비,2022,4807679050.0,0.0,0.0,국토교통부
4131955949.0,0.0,0.0,(15)업무추진비,2022,3874454980.0,0.0,0.0,국토교통부
466685445303.0,2367266920.0,464318178383.0,39.국토정보관리,2022,247175603297.0,2785466900.0,244390136397.0,국토교통부
1074262977773.0,-3737092860.0,1078000070633.0,38.도시정책,2022,1344974692186.0,-7050026060.0,1352024718246.0,국토교통부
398172466078.0,-16640988590.0,414813454668.0,37.지역개발,2022,512193086455.0,-25574865980.0,537767952435.0,국토교통부
312252372900.0,-16251610.0,312268624510.0,16.광역철도건설,2022,464310372140.0,-344119330.0,464654491470.0,국토교통부
2895363181097.0,-18154520.0,2895381335617.0,15.철도안전및운영,2022,3001481748206.0,-211307780.0,3001693055986.0,국토교통부
4328456955681.0,-43945846684.0,4372402802365.0,14.일반철도건설,2022,5083636507747.0,-545116912896.0,5628753420643.0,국토교통부
