기본순자산금액,회계연도,순자산조정금액,소관명,적립금잉여금액,구분,합계금액
0.0,2022,0.0,국민권익위원회,97290616536.0,재원의조달,97290616536.0
0.0,2022,0.0,고용노동부,4609864504855.0,재정운영결과,4609864504855.0
0.0,2022,0.0,고용노동부,8610045595509.0,재원의조달및이전,8610045595509.0
0.0,2022,0.0,고용노동부,9148426104400.0,재원의조달,9148426104400.0
0.0,2022,0.0,고용노동부,8988240041830.0,국고수입,8988240041830.0
0.0,2022,0.0,고용노동부,76658007630.0,제재금수익,76658007630.0
0.0,2022,0.0,고용노동부,270498380.0,기타비교환수익,270498380.0
0.0,2022,0.0,고용노동부,49860000.0,무상이전수입,49860000.0
0.0,2022,0.0,고용노동부,83207696560.0,기타재원조달,83207696560.0
0.0,2022,0.0,고용노동부,538380508891.0,재원의이전,538380508891.0
0.0,2022,0.0,고용노동부,538360261110.0,국고이전지출,538360261110.0
0.0,2022,0.0,고용노동부,20247781.0,무상이전지출,20247781.0
0.0,2022,-2799834940639.0,고용노동부,0.0,조정항목,-2799834940639.0
0.0,2022,-2677649832464.0,고용노동부,0.0,투자증권평가손익,-2677649832464.0
0.0,2022,-122185108175.0,고용노동부,0.0,자산재평가이익,-122185108175.0
0.0,2022,0.0,고용노동부,0.0,기타순자산의증감,0.0
1643105155605.0,2022,2274960841967.0,고용노동부,-4385702768683.0,당기 기말순자산,-467636771111.0
1869138227.0,2022,0.0,고위공직자범죄수사처,186997455.0,전기 기초순자산,2056135682.0
1869138227.0,2022,0.0,고위공직자범죄수사처,186997455.0,정부조직개편등에따른순자산의증감,2056135682.0
0.0,2022,0.0,고위공직자범죄수사처,7246040631.0,재정운영결과,7246040631.0
0.0,2022,0.0,고위공직자범죄수사처,14076525490.0,재원의조달및이전,14076525490.0
0.0,2022,0.0,고위공직자범죄수사처,14079344470.0,재원의조달,14079344470.0
0.0,2022,0.0,고위공직자범죄수사처,13946480230.0,국고수입,13946480230.0
0.0,2022,0.0,고위공직자범죄수사처,132864240.0,기타재원조달,132864240.0
0.0,2022,0.0,고위공직자범죄수사처,2818980.0,재원의이전,2818980.0
0.0,2022,0.0,고위공직자범죄수사처,2811980.0,국고이전지출,2811980.0
0.0,2022,0.0,고위공직자범죄수사처,7000.0,무상이전지출,7000.0
1643105155605.0,2022,5074795782606.0,고용노동부,-8385883859337.0,보고금액,-1667982921126.0
1643105155605.0,2022,5074795782606.0,고용노동부,-8385883859337.0,당기 기초순자산,-1667982921126.0
1643105155605.0,2022,5074795782606.0,고용노동부,-8385883859337.0,전기 기말순자산,-1667982921126.0
0.0,2022,0.0,경찰청,15144733418407.0,재원의조달,15144733418407.0
0.0,2022,0.0,경찰청,12002568842920.0,국고수입,12002568842920.0
0.0,2022,0.0,경찰청,1372541975420.0,제재금수익,1372541975420.0
0.0,2022,0.0,경찰청,53416941857.0,무상이전수입,53416941857.0
0.0,2022,0.0,경찰청,1716205658210.0,기타재원조달,1716205658210.0
0.0,2022,0.0,경찰청,1301180627003.0,재원의이전,1301180627003.0
0.0,2022,0.0,경찰청,1277253292630.0,국고이전지출,1277253292630.0
0.0,2022,0.0,경찰청,23927334373.0,무상이전지출,23927334373.0
0.0,2022,51097308334.0,경찰청,0.0,조정항목,51097308334.0
0.0,2022,51097308334.0,경찰청,0.0,자산재평가이익,51097308334.0
6898650203656.0,2022,6887312873305.0,경찰청,3287423115669.0,당기 기말순자산,17073386192630.0
1643105155605.0,2022,4742126959988.0,고용노동부,-3428226538076.0,전기 기초순자산,2957005577517.0
