계정명,단위사업명,경비구분,목명,세목명,지출구분,분야명,회계명,회계연도,소관명,프로그램명,세부사업명,부문명,국회확정금액,정부안금액
,ASOSAI 세미나 개최,주요사업비(기금사업비),운영비,일반수용비,일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,ASOSAI 세미나 개최,일반행정,31416,31416
,ASOSAI 세미나 개최,주요사업비(기금사업비),운영비,임차료,일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,ASOSAI 세미나 개최,일반행정,3300,3300
,ASOSAI 세미나 개최,주요사업비(기금사업비),여비,국외업무여비,일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,ASOSAI 세미나 개최,일반행정,63720,63720
,ASOSAI 세미나 개최,주요사업비(기금사업비),업무추진비,사업추진비,일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,ASOSAI 세미나 개최,일반행정,1890,1890
,감사역량강화,주요사업비(기금사업비),운영비,일반수용비,일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,감사운영혁신사업,일반행정,515745,585745
,감사역량강화,주요사업비(기금사업비),여비,국외업무여비,일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,감사운영혁신사업,일반행정,235255,235255
,감사역량강화,주요사업비(기금사업비),연구개발비,연구개발비,일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,감사운영혁신사업,일반행정,573888,673888
,감사역량강화,주요사업비(기금사업비),보전금,보상금,일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,감사운영혁신사업,일반행정,5000,5000
,감사역량강화,주요사업비(기금사업비),보전금,포상금등,일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,감사운영혁신사업,일반행정,5000,5000
,감사활동경비,주요사업비(기금사업비),유형자산,자산취득비,일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,감사활동경비,일반행정,43500,43500
,감사활동경비,주요사업비(기금사업비),연구개발비,연구개발비,일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,감사활동경비,일반행정,100000,100000
,감사활동경비,주요사업비(기금사업비),직무수행경비,특정업무경비,일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,감사활동경비,일반행정,1840000,1840000
,감사활동경비,주요사업비(기금사업비),업무추진비,관서업무비,일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,감사활동경비,일반행정,27827,27827
,감사활동경비,주요사업비(기금사업비),특수활동비,특수활동비,일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,감사활동경비,일반행정,4272567,4272567
,감사활동경비,주요사업비(기금사업비),여비,국외업무여비,일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,감사활동경비,일반행정,416231,416231
,감사활동경비,주요사업비(기금사업비),여비,국내여비,일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,감사활동경비,일반행정,8244931,8244931
,감사활동경비,주요사업비(기금사업비),운영비,일·숙직비,일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,감사활동경비,일반행정,38800,38800
,감사활동경비,주요사업비(기금사업비),운영비,공공요금 및 제세,일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,감사활동경비,일반행정,14392,14392
,감사활동경비,주요사업비(기금사업비),운영비,일반수용비,일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,감사활동경비,일반행정,814605,814605
,감사활동경비,주요사업비(기금사업비),보전금,포상금등,일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,감사활동경비,일반행정,55000,55000
,본부 기본경비,기본경비(경상운영비),인건비,보수,일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,공익근무요원 운영,일반행정,35910,35910
,본부 기본경비,기본경비(경상운영비),인건비,기타직보수,일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,공익근무요원 운영,일반행정,16258,16258
,본부 기본경비,기본경비(경상운영비),운영비,피복비,일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,공익근무요원 운영,일반행정,3193,3193
,본부 기본경비,기본경비(경상운영비),운영비,재료비,일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,본부 기본경비,일반행정,12939,12939
,본부 기본경비,기본경비(경상운영비),인건비,일용임금,일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,본부 기본경비,일반행정,75977,75977
,본부 기본경비,기본경비(경상운영비),운영비,일반수용비,일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,본부 기본경비,일반행정,795875,795875
,본부 기본경비,기본경비(경상운영비),운영비,공공요금 및 제세,일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,본부 기본경비,일반행정,476964,476964
,본부 기본경비,기본경비(경상운영비),운영비,피복비,일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,본부 기본경비,일반행정,9480,9480
,본부 기본경비,기본경비(경상운영비),운영비,특근매식비,일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,본부 기본경비,일반행정,293630,293630
,본부 기본경비,기본경비(경상운영비),운영비,일·숙직비,일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,본부 기본경비,일반행정,11000,11000
,본부 기본경비,기본경비(경상운영비),운영비,임차료,일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,본부 기본경비,일반행정,245862,245862
,본부 기본경비,기본경비(경상운영비),운영비,연료비,일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,본부 기본경비,일반행정,215427,215427
,본부 기본경비,기본경비(경상운영비),운영비,시설장비유지비,일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,본부 기본경비,일반행정,221238,221238
,본부 기본경비,기본경비(경상운영비),유형자산,자산취득비,일반지출,일반공공행정,일반회계,2007,감사원,감사활동 및 행정지원,본부 기본경비,일반행정,145366,145366
