계정명,단위사업명,경비구분,목명,세목명,지출구분,분야명,회계명,회계연도,소관명,프로그램명,세부사업명,부문명,전년도국회확정금액,국회확정금액,정부안금액
,518 진상규명 지원,주요사업비(기금사업비),건설비,공사비,일반지출,일반·지방행정,일반회계,2024,5·18민주화운동 진상규명조사위원회,518 진상규명조사위원회 운영,518 진상규명지원,일반행정,0.0,176770.0,176770.0
,518 진상규명 지원,주요사업비(기금사업비),건설비,실시설계비,일반지출,일반·지방행정,일반회계,2024,5·18민주화운동 진상규명조사위원회,518 진상규명조사위원회 운영,518 진상규명지원,일반행정,0.0,18000.0,18000.0
,518 진상규명 지원,주요사업비(기금사업비),보전금,손실보상금,일반지출,일반·지방행정,일반회계,2024,5·18민주화운동 진상규명조사위원회,518 진상규명조사위원회 운영,518 진상규명지원,일반행정,22000.0,0.0,0.0
,518 진상규명 지원,주요사업비(기금사업비),보전금,포상금,일반지출,일반·지방행정,일반회계,2024,5·18민주화운동 진상규명조사위원회,518 진상규명조사위원회 운영,518 진상규명지원,일반행정,97200.0,29700.0,29700.0
,518 진상규명 지원,주요사업비(기금사업비),업무추진비,관서업무추진비,일반지출,일반·지방행정,일반회계,2024,5·18민주화운동 진상규명조사위원회,518 진상규명조사위원회 운영,518 진상규명지원,일반행정,52000.0,41000.0,41000.0
,518 진상규명 지원,주요사업비(기금사업비),업무추진비,사업추진비,일반지출,일반·지방행정,일반회계,2024,5·18민주화운동 진상규명조사위원회,518 진상규명조사위원회 운영,518 진상규명지원,일반행정,2000.0,0.0,0.0
,518 진상규명 지원,주요사업비(기금사업비),여비,국내여비,일반지출,일반·지방행정,일반회계,2024,5·18민주화운동 진상규명조사위원회,518 진상규명조사위원회 운영,518 진상규명지원,일반행정,924000.0,321000.0,321000.0
,518 진상규명 지원,주요사업비(기금사업비),여비,국외업무여비,일반지출,일반·지방행정,일반회계,2024,5·18민주화운동 진상규명조사위원회,518 진상규명조사위원회 운영,518 진상규명지원,일반행정,42430.0,0.0,0.0
,518 진상규명 지원,주요사업비(기금사업비),연구용역비,일반연구비,일반지출,일반·지방행정,일반회계,2024,5·18민주화운동 진상규명조사위원회,518 진상규명조사위원회 운영,518 진상규명지원,일반행정,2564000.0,0.0,0.0
,518 진상규명 지원,주요사업비(기금사업비),운영비,관리용역비,일반지출,일반·지방행정,일반회계,2024,5·18민주화운동 진상규명조사위원회,518 진상규명조사위원회 운영,518 진상규명지원,일반행정,20375.0,15000.0,15000.0
,518 진상규명 지원,주요사업비(기금사업비),운영비,일반수용비,일반지출,일반·지방행정,일반회계,2024,5·18민주화운동 진상규명조사위원회,518 진상규명조사위원회 운영,518 진상규명지원,일반행정,530995.0,949730.0,949730.0
