계정명,단위사업명,경비구분,지출구분,분야명,회계명,회계연도,소관명,프로그램명,세부사업명,부문명,국회확정금액,정부안금액
,감사연구활동경비,주요사업비(기금사업비),일반지출,일반·지방행정,일반회계,2024,감사원,감사활동 및 행정지원,감사연구활동경비,일반행정,18630,18630
,감사활동경비,주요사업비(기금사업비),일반지출,일반·지방행정,일반회계,2024,감사원,감사활동 및 행정지원,감사활동경비,일반행정,241221,241221
,국제교류협력강화,주요사업비(기금사업비),일반지출,일반·지방행정,일반회계,2024,감사원,감사활동 및 행정지원,국제교류협력강화,일반행정,308354,308354
,기본경비,기본경비(경상운영비),일반지출,일반·지방행정,일반회계,2024,감사원,감사활동 및 행정지원,기본경비,일반행정,15579,15579
,인건비,인건비(기금인건비),일반지출,일반·지방행정,일반회계,2024,감사원,감사활동 및 행정지원,인건비,일반행정,97614,97614
,본부기본경비,기본경비(경상운영비),일반지출,공공질서및안전,일반회계,2024,경찰청,경찰행정지원,경무인사기획관기본경비,경찰,13704,13704
,본부기본경비,기본경비(경상운영비),일반지출,공공질서및안전,일반회계,2024,경찰청,경찰행정지원,과학수사관리관기본경비,경찰,2251,2251
,본부기본경비,기본경비(경상운영비),일반지출,공공질서및안전,일반회계,2024,경찰청,경찰행정지원,미래치안정책국기본경비,경찰,3757,3757
,본부인건비,인건비(기금인건비),일반지출,공공질서및안전,일반회계,2024,경찰청,경찰행정지원,경찰청인건비,경찰,419836,419836
,본부인건비,인건비(기금인건비),일반지출,공공질서및안전,일반회계,2024,경찰청,경찰행정지원,시도경찰청인건비,경찰,498579,498579
,소속기관기본경비,기본경비(경상운영비),일반지출,공공질서및안전,일반회계,2024,경찰청,경찰행정지원,경찰대학기본경비,경찰,13376,13376
,소속기관기본경비,기본경비(경상운영비),일반지출,공공질서및안전,일반회계,2024,경찰청,경찰행정지원,경찰인재개발원기본경비,경찰,905,905
,소속기관기본경비,기본경비(경상운영비),일반지출,공공질서및안전,일반회계,2024,경찰청,경찰행정지원,중앙학교기본경비,경찰,2355,2355
,치안행정업무지원,주요사업비(기금사업비),일반지출,공공질서및안전,일반회계,2024,경찰청,경찰행정지원,기획조정활동,경찰,12280,12280
,교통사고예방,주요사업비(기금사업비),일반지출,공공질서및안전,일반회계,2024,경찰청,교통안전·소통확보,교통안전활동,경찰,64240,64240
,국제교류협력활동,주요사업비(기금사업비),일반지출,공공질서및안전,일반회계,2024,경찰청,국가안보확보,해외치안협력강화,경찰,480539,480539
,대테러위기상황관리,주요사업비(기금사업비),일반지출,공공질서및안전,일반회계,2024,경찰청,국가안보확보,대테러위기상황관리,경찰,50458,50458
