계정명,단위사업명,경비구분,목명,세목명,지출구분,분야명,회계명,회계년도,소관명,프로그램명,세부사업명,부문명,국회확정금액,정부안금액
,감사연구활동경비,주요사업비(기금사업비),여비,국외업무여비,일반지출,일반·지방행정,일반회계,2024,감사원,감사활동 및 행정지원,감사연구활동경비,일반행정,18630.0,18630.0
,감사활동경비,주요사업비(기금사업비),여비,국외교육여비,일반지출,일반·지방행정,일반회계,2024,감사원,감사활동 및 행정지원,감사활동경비,일반행정,42000.0,42000.0
,감사활동경비,주요사업비(기금사업비),여비,국외업무여비,일반지출,일반·지방행정,일반회계,2024,감사원,감사활동 및 행정지원,감사활동경비,일반행정,199221.0,199221.0
,국제교류협력강화,주요사업비(기금사업비),업무추진비,관서업무추진비,일반지출,일반·지방행정,일반회계,2024,감사원,감사활동 및 행정지원,국제교류협력강화,일반행정,28000.0,28000.0
,국제교류협력강화,주요사업비(기금사업비),여비,국외업무여비,일반지출,일반·지방행정,일반회계,2024,감사원,감사활동 및 행정지원,국제교류협력강화,일반행정,143958.0,143958.0
,국제교류협력강화,주요사업비(기금사업비),운영비,공공요금및제세,일반지출,일반·지방행정,일반회계,2024,감사원,감사활동 및 행정지원,국제교류협력강화,일반행정,5342.0,5342.0
,국제교류협력강화,주요사업비(기금사업비),운영비,시설장비유지비,일반지출,일반·지방행정,일반회계,2024,감사원,감사활동 및 행정지원,국제교류협력강화,일반행정,2304.0,2304.0
,국제교류협력강화,주요사업비(기금사업비),운영비,임차료,일반지출,일반·지방행정,일반회계,2024,감사원,감사활동 및 행정지원,국제교류협력강화,일반행정,35400.0,35400.0
,국제교류협력강화,주요사업비(기금사업비),해외이전,국제부담금,일반지출,일반·지방행정,일반회계,2024,감사원,감사활동 및 행정지원,국제교류협력강화,일반행정,93350.0,93350.0
,기본경비,기본경비(경상운영비),여비,국외교육여비,일반지출,일반·지방행정,일반회계,2024,감사원,감사활동 및 행정지원,기본경비,일반행정,15579.0,15579.0
,인건비,인건비(기금인건비),인건비,보수,일반지출,일반·지방행정,일반회계,2024,감사원,감사활동 및 행정지원,인건비,일반행정,97614.0,97614.0
,본부기본경비,기본경비(경상운영비),여비,국외업무여비,일반지출,공공질서및안전,일반회계,2024,경찰청,경찰행정지원,경무인사기획관기본경비,경찰,13704.0,13704.0
,본부기본경비,기본경비(경상운영비),여비,국외업무여비,일반지출,공공질서및안전,일반회계,2024,경찰청,경찰행정지원,과학수사관리관기본경비,경찰,2251.0,2251.0
,본부기본경비,기본경비(경상운영비),여비,국외업무여비,일반지출,공공질서및안전,일반회계,2024,경찰청,경찰행정지원,미래치안정책국기본경비,경찰,3757.0,3757.0
,본부인건비,인건비(기금인건비),인건비,보수,일반지출,공공질서및안전,일반회계,2024,경찰청,경찰행정지원,경찰청인건비,경찰,419836.0,419836.0
,본부인건비,인건비(기금인건비),인건비,보수,일반지출,공공질서및안전,일반회계,2024,경찰청,경찰행정지원,시도경찰청인건비,경찰,498579.0,498579.0
,소속기관기본경비,기본경비(경상운영비),여비,국외업무여비,일반지출,공공질서및안전,일반회계,2024,경찰청,경찰행정지원,경찰대학기본경비,경찰,13376.0,13376.0
,소속기관기본경비,기본경비(경상운영비),여비,국외업무여비,일반지출,공공질서및안전,일반회계,2024,경찰청,경찰행정지원,경찰인재개발원기본경비,경찰,905.0,905.0
,소속기관기본경비,기본경비(경상운영비),여비,국외업무여비,일반지출,공공질서및안전,일반회계,2024,경찰청,경찰행정지원,중앙학교기본경비,경찰,2355.0,2355.0
,치안행정업무지원,주요사업비(기금사업비),특수활동비,특수활동비,일반지출,공공질서및안전,일반회계,2024,경찰청,경찰행정지원,기획조정활동,경찰,12280.0,12280.0
,교통사고예방,주요사업비(기금사업비),여비,국외업무여비,일반지출,공공질서및안전,일반회계,2024,경찰청,교통안전·소통확보,교통안전활동,경찰,64240.0,64240.0
,국제교류협력활동,주요사업비(기금사업비),업무추진비,사업추진비,일반지출,공공질서및안전,일반회계,2024,경찰청,국가안보확보,해외치안협력강화,경찰,17920.0,17920.0
,국제교류협력활동,주요사업비(기금사업비),여비,국외업무여비,일반지출,공공질서및안전,일반회계,2024,경찰청,국가안보확보,해외치안협력강화,경찰,279799.0,279799.0
,국제교류협력활동,주요사업비(기금사업비),운영비,일반수용비,일반지출,공공질서및안전,일반회계,2024,경찰청,국가안보확보,해외치안협력강화,경찰,15120.0,15120.0
,국제교류협력활동,주요사업비(기금사업비),운영비,임차료,일반지출,공공질서및안전,일반회계,2024,경찰청,국가안보확보,해외치안협력강화,경찰,167700.0,167700.0
,대테러위기상황관리,주요사업비(기금사업비),여비,국외업무여비,일반지출,공공질서및안전,일반회계,2024,경찰청,국가안보확보,대테러위기상황관리,경찰,32254.0,32254.0
,대테러위기상황관리,주요사업비(기금사업비),특수활동비,특수활동비,일반지출,공공질서및안전,일반회계,2024,경찰청,국가안보확보,대테러위기상황관리,경찰,18204.0,18204.0
,수사지원 및 수사역량강화,주요사업비(기금사업비),여비,국외업무여비,일반지출,공공질서및안전,일반회계,2024,경찰청,범죄수사활동,과학수사역량강화,경찰,8011.0,8011.0
,수사지원 및 수사역량강화,주요사업비(기금사업비),운영비,일반수용비,일반지출,공공질서및안전,일반회계,2024,경찰청,범죄수사활동,과학수사역량강화,경찰,201.0,201.0
,수사지원 및 수사역량강화,주요사업비(기금사업비),여비,국외업무여비,일반지출,공공질서및안전,일반회계,2024,경찰청,범죄수사활동,수사지원,경찰,82000.0,82000.0
,수사지원 및 수사역량강화,주요사업비(기금사업비),여비,국외업무여비,일반지출,공공질서및안전,일반회계,2024,경찰청,범죄수사활동,안보수사역량강화,경찰,20631.0,20631.0
,경찰대학운영,주요사업비(기금사업비),여비,국외교육여비,일반지출,공공질서및안전,일반회계,2024,경찰청,전문경찰양성,경찰대학운영,경찰,76395.0,76395.0
,경찰대학운영,주요사업비(기금사업비),여비,국외업무여비,일반지출,공공질서및안전,일반회계,2024,경찰청,전문경찰양성,경찰대학운영,경찰,1495.0,1495.0
,경찰대학운영,주요사업비(기금사업비),운영비,시험연구비,일반지출,공공질서및안전,일반회계,2024,경찰청,전문경찰양성,경찰대학운영,경찰,3934.0,3934.0
,경찰인재개발,주요사업비(기금사업비),여비,국외업무여비,일반지출,공공질서및안전,일반회계,2024,경찰청,전문경찰양성,경찰인재개발,경찰,9748.0,9748.0
,우수인재확보및능력개발,주요사업비(기금사업비),여비,국외교육여비,일반지출,공공질서및안전,일반회계,2024,경찰청,전문경찰양성,경찰관채용교육,경찰,685620.0,685620.0
,치안상황관리,주요사업비(기금사업비),여비,국외업무여비,일반지출,공공질서및안전,일반회계,2024,경찰청,치안상황대응강화,범죄대응 및 치안상황관리,경찰,82594.0,82594.0
,헬기운용 및 현대화,주요사업비(기금사업비),여비,국외업무여비,일반지출,공공질서및안전,일반회계,2024,경찰청,치안인프라구축,헬기운용 및 현대화,경찰,2055.0,2055.0
,헬기운용 및 현대화,주요사업비(기금사업비),운영비,시설장비유지비,일반지출,공공질서및안전,일반회계,2024,경찰청,치안인프라구축,헬기운용 및 현대화,경찰,1587369.0,1587369.0
,기금운영비,기본경비(경상운영비),여비,국외업무여비,일반지출,사회복지,고용보험기금,2024,고용노동부,고용노동행정지원,고용보험운영 기타경비,고용,51068.0,51068.0
,기금운영비,기본경비(경상운영비),여비,국외업무여비,일반지출,사회복지,고용보험기금,2024,고용노동부,고용노동행정지원,직업능력개발사업운영,고용,6206.0,6206.0
중소복지계정,근로복지기금운영비,기본경비(경상운영비),여비,국외업무여비,일반지출,사회복지,근로복지진흥기금,2024,고용노동부,고용노동행정지원,기금관리비(기타경비),노동,3628.0,3628.0
,산재보험및예방기금운영비,기본경비(경상운영비),여비,국외업무여비,일반지출,사회복지,산업재해보상보험및예방기금,2024,고용노동부,고용노동행정지원,산재보험운영 기타경비,노동,6864.0,6864.0
,산재보험및예방기금운영비,기본경비(경상운영비),여비,국외업무여비,일반지출,사회복지,산업재해보상보험및예방기금,2024,고용노동부,고용노동행정지원,산재예방운영 기타경비,노동,19468.0,19468.0
,경제사회노동위원회운영,주요사업비(기금사업비),여비,국외업무여비,일반지출,사회복지,일반회계,2024,고용노동부,고용노동행정지원,경제사회노동위원회운영,고용노동일반,5810.0,5810.0
,고용노동행정정보화,주요사업비(기금사업비),여비,국외업무여비,일반지출,사회복지,일반회계,2024,고용노동부,고용노동행정지원,고용노동행정(정보화),고용노동일반,2786.0,2786.0
,본부기본경비,기본경비(경상운영비),여비,국외업무여비,일반지출,사회복지,일반회계,2024,고용노동부,고용노동행정지원,"기본경비(고용정책실,비총액)",고용노동일반,5124.0,5124.0
,본부기본경비,기본경비(경상운영비),여비,국외업무여비,일반지출,사회복지,일반회계,2024,고용노동부,고용노동행정지원,"기본경비(노동정책실,비총액)",고용노동일반,2740.0,2740.0
,본부기본경비,기본경비(경상운영비),보전금,기타보전금,일반지출,사회복지,일반회계,2024,고용노동부,고용노동행정지원,"기본경비(본부기관운영,비총액)",고용노동일반,1626.0,1626.0
,본부기본경비,기본경비(경상운영비),업무추진비,관서업무추진비,일반지출,사회복지,일반회계,2024,고용노동부,고용노동행정지원,"기본경비(본부기관운영,비총액)",고용노동일반,12575.0,12575.0
,본부기본경비,기본경비(경상운영비),여비,국외교육여비,일반지출,사회복지,일반회계,2024,고용노동부,고용노동행정지원,"기본경비(본부기관운영,비총액)",고용노동일반,8138.0,8138.0
,본부기본경비,기본경비(경상운영비),여비,국외업무여비,일반지출,사회복지,일반회계,2024,고용노동부,고용노동행정지원,"기본경비(본부기관운영,비총액)",고용노동일반,88590.0,88590.0
,본부기본경비,기본경비(경상운영비),운영비,공공요금및제세,일반지출,사회복지,일반회계,2024,고용노동부,고용노동행정지원,"기본경비(본부기관운영,비총액)",고용노동일반,989.0,989.0
,본부기본경비,기본경비(경상운영비),운영비,일반수용비,일반지출,사회복지,일반회계,2024,고용노동부,고용노동행정지원,"기본경비(본부기관운영,비총액)",고용노동일반,5774.0,5774.0
,본부기본경비,기본경비(경상운영비),여비,국외업무여비,일반지출,사회복지,일반회계,2024,고용노동부,고용노동행정지원,"기본경비(직업능력정책국, 비총액)",고용노동일반,817.0,817.0
,본부기본경비,기본경비(경상운영비),여비,국외업무여비,일반지출,사회복지,일반회계,2024,고용노동부,고용노동행정지원,"기본경비(통합고용정책국, 비총액)",고용노동일반,3293.0,3293.0
,소속기관기본경비,기본경비(경상운영비),여비,국외업무여비,일반지출,사회복지,일반회계,2024,고용노동부,고용노동행정지원,노동위원회기본경비(비총액),고용노동일반,2624.0,2624.0
,소속기관기본경비,기본경비(경상운영비),여비,국외업무여비,일반지출,사회복지,일반회계,2024,고용노동부,고용노동행정지원,최저임금위원회기본경비(비총액),고용노동일반,5367.0,5367.0
,국제고용노동협력,주요사업비(기금사업비),해외이전,국제부담금,일반지출,사회복지,일반회계,2024,고용노동부,근로조건보호및복지증진,ILO분담금(ODA),노동,11006000.0,11006000.0
,국제고용노동협력,주요사업비(기금사업비),해외이전,국제부담금,일반지출,사회복지,일반회계,2024,고용노동부,근로조건보호및복지증진,개도국고용노동분야개발협력(ODA),노동,3237000.0,3237000.0
,국제고용노동협력,주요사업비(기금사업비),업무추진비,사업추진비,일반지출,사회복지,일반회계,2024,고용노동부,근로조건보호및복지증진,고용노동국제협력및통상협상대응,노동,2880.0,2880.0
,국제고용노동협력,주요사업비(기금사업비),여비,국외업무여비,일반지출,사회복지,일반회계,2024,고용노동부,근로조건보호및복지증진,고용노동국제협력및통상협상대응,노동,39646.0,39646.0
,퇴직급여정착지원제도,주요사업비(기금사업비),여비,국외업무여비,일반지출,사회복지,일반회계,2024,고용노동부,근로조건보호및복지증진,퇴직급여제도정착지원,노동,4260.0,4260.0
,임금채권보장기금운영비,기본경비(경상운영비),여비,국외업무여비,일반지출,사회복지,임금채권보장기금,2024,고용노동부,고용노동행정지원,사업운영비(제도운영기타경비),노동,2712.0,2712.0
지역지원계정,지역고용촉진지원,주요사업비(기금사업비),여비,국외업무여비,일반지출,사회복지,지역균형발전특별회계,2024,고용노동부,고용창출,지역산업맞춤형일자리창출지원,고용,13691.0,13691.0
,수사지원 및 수사일반,주요사업비(기금사업비),여비,국외업무여비,일반지출,공공질서및안전,일반회계,2024,고위공직자범죄수사처,공수처 활동,수사지원 및 수사일반,법무및검찰,14838.0,14838.0
,기본경비,기본경비(경상운영비),여비,국외업무여비,일반지출,공공질서및안전,일반회계,2024,고위공직자범죄수사처,행정지원,공수처 운영 기본경비(비총액),법무및검찰,8107.0,8107.0
,독과점시장 환경개선,주요사업비(기금사업비),여비,국외업무여비,일반지출,일반·지방행정,일반회계,2024,공정거래위원회,경쟁촉진,독과점시장 감시체계 운영,일반행정,3627.0,3627.0
,선진 경쟁정책 추진,주요사업비(기금사업비),여비,국외업무여비,일반지출,일반·지방행정,일반회계,2024,공정거래위원회,경쟁촉진,개도국기술 지원(ODA),일반행정,4934.0,4934.0
,선진 경쟁정책 추진,주요사업비(기금사업비),해외이전,국제부담금,일반지출,일반·지방행정,일반회계,2024,공정거래위원회,경쟁촉진,개도국기술 지원(ODA),일반행정,27692.0,27692.0
,선진 경쟁정책 추진,주요사업비(기금사업비),해외이전,국제부담금,일반지출,일반·지방행정,일반회계,2024,공정거래위원회,경쟁촉진,대외활동 강화,일반행정,3000.0,3000.0
,시장구조개선,주요사업비(기금사업비),여비,국외업무여비,일반지출,일반·지방행정,일반회계,2024,공정거래위원회,경쟁촉진,규제개선 및 경제분석,일반행정,9118.0,9118.0
,시장구조개선,주요사업비(기금사업비),운영비,일반수용비,일반지출,일반·지방행정,일반회계,2024,공정거래위원회,경쟁촉진,규제개선 및 경제분석,일반행정,15677.0,15677.0
,기본경비,기본경비(경상운영비),여비,국외업무여비,일반지출,일반·지방행정,일반회계,2024,공정거래위원회,공정거래 행정지원,경쟁정책국 비총액인건비성 기본경비,일반행정,49008.0,49008.0
,기본경비,기본경비(경상운영비),보전금,기타보전금,일반지출,일반·지방행정,일반회계,2024,공정거래위원회,공정거래 행정지원,기관운영 비총액인건비성 기본경비,일반행정,15696.0,15696.0
,기본경비,기본경비(경상운영비),여비,국외업무여비,일반지출,일반·지방행정,일반회계,2024,공정거래위원회,공정거래 행정지원,기관운영 비총액인건비성 기본경비,일반행정,820.0,820.0
,기본경비,기본경비(경상운영비),운영비,임차료,일반지출,일반·지방행정,일반회계,2024,공정거래위원회,공정거래 행정지원,기관운영 비총액인건비성 기본경비,일반행정,48000.0,48000.0
,기본경비,기본경비(경상운영비),여비,국외업무여비,일반지출,일반·지방행정,일반회계,2024,공정거래위원회,공정거래 행정지원,기업집단감시국 비총액인건비성 기본경비,일반행정,2691.0,2691.0
,기본경비,기본경비(경상운영비),여비,국외업무여비,일반지출,일반·지방행정,일반회계,2024,공정거래위원회,공정거래 행정지원,기획조정관실 비총액인건비성 기본경비,일반행정,7578.0,7578.0
,기본경비,기본경비(경상운영비),여비,국외업무여비,일반지출,일반·지방행정,일반회계,2024,공정거래위원회,공정거래 행정지원,소비자정책국 비총액인건비성 기본경비,일반행정,9210.0,9210.0
,기본경비,기본경비(경상운영비),여비,국외업무여비,일반지출,일반·지방행정,일반회계,2024,공정거래위원회,공정거래 행정지원,시장감시국 비총액인건비성 기본경비,일반행정,1623.0,1623.0
,기본경비,기본경비(경상운영비),여비,국외업무여비,일반지출,일반·지방행정,일반회계,2024,공정거래위원회,공정거래 행정지원,조사관리관실 비총액인건비성 기본경비,일반행정,1592.0,1592.0
,인건비,인건비(기금인건비),인건비,보수,일반지출,일반·지방행정,일반회계,2024,공정거래위원회,공정거래 행정지원,총액인건비성 인건비,일반행정,93257.0,93257.0
,선진 소비자정책 추진,주요사업비(기금사업비),여비,국외업무여비,일반지출,일반·지방행정,일반회계,2024,공정거래위원회,소비자후생 증진,선진소비자 정책 추진,일반행정,19184.0,19184.0
,선진 소비자정책 추진,주요사업비(기금사업비),운영비,일반수용비,일반지출,일반·지방행정,일반회계,2024,공정거래위원회,소비자후생 증진,선진소비자 정책 추진,일반행정,650.0,650.0
,대중소기업간 거래행태개선 및 동반성장시책추진,주요사업비(기금사업비),여비,국외업무여비,일반지출,일반·지방행정,일반회계,2024,공정거래위원회,중소기업 경쟁여건 개선,대중소기업간 거래행태개선 및 동반성장시책추진,일반행정,1665.0,1665.0
손익계정,예특기본경비,기본경비(경상운영비),여비,국외업무여비,일반지출,통신,우체국예금특별회계,2024,과학기술정보통신부,우정사업행정지원,예금기본경비,우정,18359.0,18359.0
손익계정,예금사업활성화,주요사업비(기금사업비),여비,국외업무여비,일반지출,통신,우체국예금특별회계,2024,과학기술정보통신부,우체국예금,금융서비스,우정,15148.0,15148.0
손익계정,예금사업활성화,주요사업비(기금사업비),여비,국외업무여비,일반지출,통신,우체국예금특별회계,2024,과학기술정보통신부,우체국예금,예금사업운영,우정,77375.0,77375.0
손익계정,예금사업활성화,주요사업비(기금사업비),해외이전,국제부담금,일반지출,통신,우체국예금특별회계,2024,과학기술정보통신부,우체국예금,예금사업운영,우정,42250.0,42250.0
손익계정,우특기본경비,기본경비(경상운영비),여비,국외업무여비,일반지출,통신,우편사업특별회계,2024,과학기술정보통신부,우정사업행정지원,경영기획기본경비,우정,14476.0,14476.0
손익계정,우특기본경비,기본경비(경상운영비),여비,국외업무여비,일반지출,통신,우편사업특별회계,2024,과학기술정보통신부,우정사업행정지원,우편기본경비,우정,13044.0,13044.0
손익계정,인건비,인건비(기금인건비),인건비,보수,일반지출,통신,우편사업특별회계,2024,과학기술정보통신부,우정사업행정지원,인건비,우정,175314.0,175314.0
손익계정,국내우편사업,주요사업비(기금사업비),여비,국외업무여비,일반지출,통신,우편사업특별회계,2024,과학기술정보통신부,우정서비스,우체국소포사업,우정,2598.0,2598.0
손익계정,국내우편사업,주요사업비(기금사업비),여비,국외업무여비,일반지출,통신,우편사업특별회계,2024,과학기술정보통신부,우정서비스,우표문화사업,우정,2919.0,2919.0
손익계정,국내우편사업,주요사업비(기금사업비),여비,국외업무여비,일반지출,통신,우편사업특별회계,2024,과학기술정보통신부,우정서비스,통상우편사업,우정,2229.0,2229.0
손익계정,우정사업운영지원,주요사업비(기금사업비),여비,국외업무여비,일반지출,통신,우편사업특별회계,2024,과학기술정보통신부,우정서비스,우정사업지원,우정,5459.0,5459.0
,국가과학기술자문회의 운영,주요사업비(기금사업비),여비,국외업무여비,일반지출,과학기술,일반회계,2024,과학기술정보통신부,과학기술혁신지원,국가과학기술자문회의 사무지원단 운영,과학기술연구지원,5112.0,5112.0
,본부 기본경비,기본경비(경상운영비),여비,국외업무여비,일반지출,과학기술,일반회계,2024,과학기술정보통신부,과학기술정보통신부운영지원,총액비대상 감사관 기본경비,과학기술일반,3152.0,3152.0
