계정명,단위사업명,경비구분,목명,세목명,지출구분,분야명,회계명,회계년도,소관명,프로그램명,세부사업명,추경차수,부문명,본예산금액,추경국회확정외화금액,추경국회확정금액,추경정부안외화금액,추경정부안금액
,518 진상규명 지원,주요사업비(기금사업비),건설비,공사비,일반지출,일반·지방행정,일반회계,2024,5·18민주화운동 진상규명조사위원회,518 진상규명조사위원회 운영,518 진상규명지원,0.0,일반행정,176770.0,0.0,0.0,0.0,0.0
,518 진상규명 지원,주요사업비(기금사업비),건설비,실시설계비,일반지출,일반·지방행정,일반회계,2024,5·18민주화운동 진상규명조사위원회,518 진상규명조사위원회 운영,518 진상규명지원,0.0,일반행정,18000.0,0.0,0.0,0.0,0.0
,518 진상규명 지원,주요사업비(기금사업비),보전금,포상금,일반지출,일반·지방행정,일반회계,2024,5·18민주화운동 진상규명조사위원회,518 진상규명조사위원회 운영,518 진상규명지원,0.0,일반행정,29700.0,0.0,0.0,0.0,0.0
,518 진상규명 지원,주요사업비(기금사업비),업무추진비,관서업무추진비,일반지출,일반·지방행정,일반회계,2024,5·18민주화운동 진상규명조사위원회,518 진상규명조사위원회 운영,518 진상규명지원,0.0,일반행정,41000.0,0.0,0.0,0.0,0.0
,518 진상규명 지원,주요사업비(기금사업비),여비,국내여비,일반지출,일반·지방행정,일반회계,2024,5·18민주화운동 진상규명조사위원회,518 진상규명조사위원회 운영,518 진상규명지원,0.0,일반행정,321000.0,0.0,0.0,0.0,0.0
,518 진상규명 지원,주요사업비(기금사업비),운영비,관리용역비,일반지출,일반·지방행정,일반회계,2024,5·18민주화운동 진상규명조사위원회,518 진상규명조사위원회 운영,518 진상규명지원,0.0,일반행정,15000.0,0.0,0.0,0.0,0.0
,518 진상규명 지원,주요사업비(기금사업비),운영비,일반수용비,일반지출,일반·지방행정,일반회계,2024,5·18민주화운동 진상규명조사위원회,518 진상규명조사위원회 운영,518 진상규명지원,0.0,일반행정,949730.0,0.0,0.0,0.0,0.0
,518 진상규명 지원,주요사업비(기금사업비),운영비,일반용역비,일반지출,일반·지방행정,일반회계,2024,5·18민주화운동 진상규명조사위원회,518 진상규명조사위원회 운영,518 진상규명지원,0.0,일반행정,200000.0,0.0,0.0,0.0,0.0
,518 진상규명 지원,주요사업비(기금사업비),운영비,임차료,일반지출,일반·지방행정,일반회계,2024,5·18민주화운동 진상규명조사위원회,518 진상규명조사위원회 운영,518 진상규명지원,0.0,일반행정,8800.0,0.0,0.0,0.0,0.0
,기본경비,기본경비(경상운영비),민간이전,고용부담금,일반지출,일반·지방행정,일반회계,2024,5·18민주화운동 진상규명조사위원회,518 진상규명조사위원회 운영,위원회 기본경비,0.0,일반행정,70493.0,0.0,0.0,0.0,0.0
