계정명,회계명,회계연도,수입항명,수입관명,수입목명,소관명,수입구분명,국회확정금액,정부안금액
,일반회계,2024,기타경상이전수입,경상이전수입,기타경상이전수입,감사원,일반수입,30000.0,30000.0
,일반회계,2024,잡수입,수입대체경비수입,기타잡수입,감사원,일반수입,600000.0,600000.0
,일반회계,2024,관유물대여료,재산수입,건물대여료,감사원,일반수입,10000.0,10000.0
,일반회계,2024,관유물대여료,재산수입,토지대여료,감사원,일반수입,1000.0,1000.0
,일반회계,2024,잡수입,재화및용역판매수입,기타잡수입,감사원,일반수입,104000.0,104000.0
,일반회계,2024,가산금,경상이전수입,가산금,개인정보보호위원회,일반수입,7000.0,7000.0
,일반회계,2024,기타경상이전수입,경상이전수입,기타경상이전수입,개인정보보호위원회,일반수입,1272000.0,1272000.0
,일반회계,2024,"벌금,몰수금및과태료",경상이전수입,과징금,개인정보보호위원회,일반수입,38800000.0,38800000.0
,일반회계,2024,"벌금,몰수금및과태료",경상이전수입,과태료,개인정보보호위원회,일반수입,737000.0,737000.0
,일반회계,2024,변상금및위약금,경상이전수입,위약금,개인정보보호위원회,일반수입,1000.0,1000.0
,일반회계,2024,기타이자수입및재산수입,재산수입,기타재산이자수입,개인정보보호위원회,일반수입,15000.0,15000.0
,일반회계,2024,면허료및수수료,재화및용역판매수입,면허료및수수료,개인정보보호위원회,일반수입,1000.0,1000.0
,일반회계,2024,잡수입,재화및용역판매수입,기타잡수입,개인정보보호위원회,일반수입,1000.0,1000.0
손익계정,경찰병원,2024,기타경상이전수입,경상이전수입,기타경상이전수입,경찰청,일반수입,40000.0,40000.0
손익계정,경찰병원,2024,변상금및위약금,경상이전수입,위약금,경찰청,일반수입,6000.0,6000.0
손익계정,경찰병원,2024,고정자산매각대,관유물매각대,기타고정자산매각대,경찰청,일반수입,25000.0,25000.0
손익계정,경찰병원,2024,책임운영기관사업수입,기업특별회계영업수입,책임운영기관사업수입,경찰청,일반수입,31700000.0,31700000.0
손익계정,경찰병원,2024,관유물대여료,재산수입,건물대여료,경찰청,일반수입,48000.0,48000.0
손익계정,경찰병원,2024,기타이자수입및재산수입,재산수입,기타재산이자수입,경찰청,일반수입,1000.0,1000.0
손익계정,경찰병원,2024,병원수입,재화및용역판매수입,병원수입,경찰청,일반수입,6300000.0,6300000.0
손익계정,경찰병원,2024,잡수입,재화및용역판매수입,기타잡수입,경찰청,일반수입,40000.0,40000.0
,일반회계,2024,가산금,경상이전수입,가산금,경찰청,일반수입,36110000.0,36110000.0
,일반회계,2024,기타경상이전수입,경상이전수입,기타경상이전수입,경찰청,일반수입,11404000.0,11404000.0
,일반회계,2024,"벌금,몰수금및과태료",경상이전수입,과태료,경찰청,일반수입,1134090000.0,1134090000.0
,일반회계,2024,"벌금,몰수금및과태료",경상이전수입,벌금및과료,경찰청,일반수입,84079000.0,84079000.0
,일반회계,2024,"벌금,몰수금및과태료",경상이전수입,징계부과금,경찰청,일반수입,46000.0,46000.0
,일반회계,2024,변상금및위약금,경상이전수입,변상금,경찰청,일반수입,74000.0,74000.0
,일반회계,2024,변상금및위약금,경상이전수입,위약금,경찰청,일반수입,1036000.0,1036000.0
,일반회계,2024,고정자산매각대,관유물매각대,기계기구매각대,경찰청,일반수입,3788000.0,3788000.0
,일반회계,2024,고정자산매각대,관유물매각대,기타고정자산매각대,경찰청,일반수입,421000.0,421000.0
,일반회계,2024,토지및무형자산매각대,관유물매각대,토지매각대,경찰청,일반수입,382000.0,382000.0
,일반회계,2024,관유물대여료,재산수입,건물대여료,경찰청,일반수입,1502000.0,1502000.0
,일반회계,2024,관유물대여료,재산수입,기타관유물대여료,경찰청,일반수입,1000.0,1000.0
,일반회계,2024,관유물대여료,재산수입,토지대여료,경찰청,일반수입,1314000.0,1314000.0
,일반회계,2024,기타이자수입및재산수입,재산수입,기타재산이자수입,경찰청,일반수입,420000.0,420000.0
,일반회계,2024,면허료및수수료,재화및용역판매수입,면허료및수수료,경찰청,일반수입,581000.0,581000.0
,일반회계,2024,입학금및수업료,재화및용역판매수입,수업료,경찰청,일반수입,491000.0,491000.0
,일반회계,2024,잡수입,재화및용역판매수입,기타잡수입,경찰청,일반수입,3641000.0,3641000.0
,고용보험기금,2024,가산금,경상이전수입,가산금,고용노동부,일반수입,4917000.0,4917000.0
,고용보험기금,2024,기타경상이전수입,경상이전수입,기타경상이전수입,고용노동부,일반수입,227511000.0,227511000.0
,고용보험기금,2024,사회보장기여금,사회보장기여금,고용주부담금,고용노동부,일반수입,10763964000.0,10763964000.0
,고용보험기금,2024,사회보장기여금,사회보장기여금,피고용자분담금,고용노동부,일반수입,6984238000.0,6984238000.0
,고용보험기금,2024,융자원금회수,융자및전대차관원금회수,기타민간융자원금회수,고용노동부,일반수입,104294000.0,104294000.0
,고용보험기금,2024,관유물대여료,재산수입,건물대여료,고용노동부,일반수입,147000.0,147000.0
,고용보험기금,2024,기타이자수입및재산수입,재산수입,기타민간이자수입,고용노동부,일반수입,839000.0,839000.0
,고용보험기금,2024,기타이자수입및재산수입,재산수입,기타재산이자수입,고용노동부,일반수입,29802000.0,29802000.0
,고용보험기금,2024,기타이자수입및재산수입,재산수입,기타재산이자외수입,고용노동부,일반수입,308730000.0,308730000.0
,고용보험기금,2024,잡수입,재화및용역판매수입,기타영업외잡수익,고용노동부,일반수입,30000.0,30000.0
,고용보험기금,2024,잡수입,재화및용역판매수입,기타잡수입,고용노동부,일반수입,60000.0,60000.0
신용보증사업계정,근로복지진흥기금,2024,기타경상이전수입,경상이전수입,기타경상이전수입,고용노동부,일반수입,10923000.0,10923000.0
신용보증사업계정,근로복지진흥기금,2024,기타이자수입및재산수입,재산수입,기타재산이자수입,고용노동부,일반수입,29000.0,29000.0
신용보증사업계정,근로복지진흥기금,2024,면허료및수수료,재화및용역판매수입,면허료및수수료,고용노동부,일반수입,9288000.0,9288000.0
실업대책사업계정,근로복지진흥기금,2024,기타이자수입및재산수입,재산수입,기타재산이자수입,고용노동부,일반수입,352000.0,352000.0
중소복지계정,근로복지진흥기금,2024,토지및무형자산매각대,관유물매각대,토지매각대,고용노동부,일반수입,84000.0,84000.0
중소복지계정,근로복지진흥기금,2024,융자원금회수,융자및전대차관원금회수,기타민간융자원금회수,고용노동부,일반수입,185360000.0,185360000.0
중소복지계정,근로복지진흥기금,2024,기타이자수입및재산수입,재산수입,기타민간이자수입,고용노동부,일반수입,3950000.0,3950000.0
