계정명,회계명,회계연도,수입항명,수입관명,수입목명,소관명,수입구분,국회확정금액,정부안금액
,일반회계,2024,잡수입,재화및용역판매수입,기타잡수입,감사원,일반수입,79756.0,79756.0
,일반회계,2023,잡수입,재화및용역판매수입,기타잡수입,감사원,일반수입,85800.0,85800.0
,일반회계,2022,잡수입,재화및용역판매수입,기타잡수입,감사원,일반수입,85855.0,85855.0
,일반회계,2021,잡수입,재화및용역판매수입,기타잡수입,감사원,일반수입,77686.0,77686.0
,외국환평형기금,2021,국공채수입,차입금및여유자금회수,국공채발행수입,기획재정부,보전수입,1508677685.0,1508677685.0
,외국환평형기금,2020,국공채수입,차입금및여유자금회수,국공채발행수입,기획재정부,보전수입,1500000000.0,1500000000.0
,일반회계,2020,면허료및수수료,수입대체경비수입,면허료및수수료,외교부,일반수입,134784777.0,134784777.0
,일반회계,2019,전대차관원금회수,융자및전대차관원금회수,기타민간전대차관원금회수,교육부,일반수입,49091.0,49091.0
,일반회계,2019,전대차관이자수입,재산수입,기타민간전대차관이자수입,교육부,일반수입,1818.0,1818.0
,외국환평형기금,2019,국공채수입,차입금및여유자금회수,국공채발행수입,기획재정부,보전수입,1500000000.0,1500000000.0
,일반회계,2019,면허료및수수료,수입대체경비수입,면허료및수수료,외교부,일반수입,125400000.0,125400000.0
,일반회계,2018,전대차관원금회수,융자및전대차관원금회수,기타민간전대차관원금회수,교육부,일반수입,49557.0,49557.0
,일반회계,2018,전대차관이자수입,재산수입,기타민간전대차관이자수입,교육부,일반수입,1770.0,1770.0
,외국환평형기금,2018,국공채수입,차입금및여유자금회수,국공채발행수입,기획재정부,보전수입,1000000000.0,1000000000.0
,일반회계,2018,면허료및수수료,수입대체경비수입,면허료및수수료,외교부,일반수입,128356637.0,128356637.0
,일반회계,2017,전대차관원금회수,융자및전대차관원금회수,기타민간전대차관원금회수,교육부,일반수입,47826.0,47826.0
,일반회계,2017,전대차관이자수입,재산수입,기타민간전대차관이자수입,교육부,일반수입,5217.0,5217.0
,외국환평형기금,2017,국공채수입,차입금및여유자금회수,국공채발행수입,기획재정부,보전수입,1000000000.0,1000000000.0
,일반회계,2017,면허료및수수료,수입대체경비수입,면허료및수수료,외교부,일반수입,113405217.0,113405217.0
,일반회계,2016,기타경상이전수입,경상이전수입,기타경상이전수입,교육부,일반수입,22.0,22.0
,일반회계,2016,전대차관원금회수,융자및전대차관원금회수,기타민간전대차관원금회수,교육부,일반수입,44737.0,44737.0
,일반회계,2016,전대차관이자수입,재산수입,기타민간전대차관이자수입,교육부,일반수입,2632.0,2632.0
,외국환평형기금,2016,국공채수입,차입금및여유자금회수,국공채수입,기획재정부,보전수입,500000000.0,500000000.0
,일반회계,2016,면허료및수수료,수입대체경비수입,면허료및수수료,외교부,일반수입,122574562.0,122574562.0
,일반회계,2015,기타경상이전수입,경상이전수입,기타경상이전수입,교육부,일반수입,24.0,24.0
,일반회계,2015,전대차관원금회수,융자및전대차관원금회수,기타민간전대차관원금회수,교육부,일반수입,47545.0,47545.0
,일반회계,2015,전대차관이자수입,재산수입,기타민간전대차관이자수입,교육부,일반수입,2764.0,2764.0
,외국환평형기금,2015,국공채수입,차입금및여유자금회수,국공채수입,기획재정부,보전수입,700000000.0,700000000.0
,일반회계,2015,면허료및수수료,수입대체경비수입,면허료및수수료,외교부,일반수입,113084390.0,113084390.0
,일반회계,2014,기타경상이전수입,경상이전수입,기타경상이전수입,교육부,일반수입,161.0,161.0
,일반회계,2014,전대차관원금회수,융자및전대차관원금회수,기타민간전대차관원금회수,교육부,일반수입,47545.0,47545.0
,일반회계,2014,전대차관이자수입,재산수입,기타민간전대차관이자수입,교육부,일반수입,3477.0,3477.0
,외국환평형기금,2014,국공채수입,차입금및여유자금회수,국공채수입,기획재정부,보전수입,2500000000.0,2500000000.0
,일반회계,2014,면허료및수수료,수입대체경비수입,면허료및수수료,외교부,일반수입,89539712.0,89539712.0
손익계정,특허청,2014,책임운영기관사업수입,기업특별회계영업수입,책임운영기관사업수입,특허청,일반수입,3300000.0,3300000.0
,일반회계,2013,기타경상이전수입,경상이전수입,기타경상이전수입,교육과학기술부,일반수입,161.0,161.0
,일반회계,2013,전대차관원금회수,융자및전대차관원금회수,기타민간전대차관원금회수,교육과학기술부,일반수입,312324.0,312324.0
,일반회계,2013,전대차관이자수입,재산수입,기타민간전대차관이자수입,교육과학기술부,일반수입,9104.0,9104.0
,일반회계,2013,전대차관원금회수,융자및전대차관원금회수,기타민간전대차관원금회수,금융위원회,일반수입,12902.0,12902.0
,일반회계,2013,전대차관원금회수,융자및전대차관원금회수,통화금융기관전대차관원금회수,금융위원회,일반수입,889569.0,889569.0
,일반회계,2013,전대차관이자수입,재산수입,기타민간전대차관이자수입,금융위원회,일반수입,298.0,298.0
,일반회계,2013,전대차관이자수입,재산수입,통화금융기관전대차관이자수입,금융위원회,일반수입,20033.0,20033.0
차관계정,공공자금관리기금,2013,전대차관원금회수,융자및전대차관원금회수,기타민간전대차관원금회수,기획재정부,일반수입,163601765.0,163601765.0
차관계정,공공자금관리기금,2013,전대차관원금회수,융자및전대차관원금회수,비통화금융기관전대차관원금회수,기획재정부,일반수입,200000000.0,200000000.0
차관계정,공공자금관리기금,2013,전대차관원금회수,융자및전대차관원금회수,지방자치단체전대차관원금회수,기획재정부,일반수입,409671.0,409671.0
차관계정,공공자금관리기금,2013,전대차관원금회수,융자및전대차관원금회수,통화금융기관전대차관원금회수,기획재정부,일반수입,1542053.0,1542053.0
차관계정,공공자금관리기금,2013,전대차관이자수입,재산수입,기타민간전대차관이자수입,기획재정부,일반수입,11732519.0,11732519.0
차관계정,공공자금관리기금,2013,전대차관이자수입,재산수입,비통화금융기관전대차관이자수입,기획재정부,일반수입,2677876.0,2677876.0
차관계정,공공자금관리기금,2013,전대차관이자수입,재산수입,지방자치단체전대차관이자수입,기획재정부,일반수입,8682.0,8682.0
