계정명,회계명,회계연도,수입항명,수입관명,수입목명,소관명,수입구분명,추경차수,본예산금액,추경국회확정금액,추경정부안금액
,일반회계,2024,기타경상이전수입,경상이전수입,기타경상이전수입,감사원,일반수입,0.0,30000.0,0.0,0.0
,일반회계,2024,잡수입,수입대체경비수입,기타잡수입,감사원,일반수입,0.0,600000.0,0.0,0.0
,일반회계,2024,관유물대여료,재산수입,건물대여료,감사원,일반수입,0.0,10000.0,0.0,0.0
,일반회계,2024,관유물대여료,재산수입,토지대여료,감사원,일반수입,0.0,1000.0,0.0,0.0
,일반회계,2024,잡수입,재화및용역판매수입,기타잡수입,감사원,일반수입,0.0,104000.0,0.0,0.0
,일반회계,2024,가산금,경상이전수입,가산금,개인정보보호위원회,일반수입,0.0,7000.0,0.0,0.0
,일반회계,2024,기타경상이전수입,경상이전수입,기타경상이전수입,개인정보보호위원회,일반수입,0.0,1272000.0,0.0,0.0
,일반회계,2024,"벌금,몰수금및과태료",경상이전수입,과징금,개인정보보호위원회,일반수입,0.0,38800000.0,0.0,0.0
,일반회계,2024,"벌금,몰수금및과태료",경상이전수입,과태료,개인정보보호위원회,일반수입,0.0,737000.0,0.0,0.0
,일반회계,2024,변상금및위약금,경상이전수입,위약금,개인정보보호위원회,일반수입,0.0,1000.0,0.0,0.0
,일반회계,2024,기타이자수입및재산수입,재산수입,기타재산이자수입,개인정보보호위원회,일반수입,0.0,15000.0,0.0,0.0
,일반회계,2024,면허료및수수료,재화및용역판매수입,면허료및수수료,개인정보보호위원회,일반수입,0.0,1000.0,0.0,0.0
,일반회계,2024,잡수입,재화및용역판매수입,기타잡수입,개인정보보호위원회,일반수입,0.0,1000.0,0.0,0.0
손익계정,경찰병원,2024,기타경상이전수입,경상이전수입,기타경상이전수입,경찰청,일반수입,0.0,40000.0,0.0,0.0
손익계정,경찰병원,2024,변상금및위약금,경상이전수입,위약금,경찰청,일반수입,0.0,6000.0,0.0,0.0
손익계정,경찰병원,2024,고정자산매각대,관유물매각대,기타고정자산매각대,경찰청,일반수입,0.0,25000.0,0.0,0.0
손익계정,경찰병원,2024,책임운영기관사업수입,기업특별회계영업수입,책임운영기관사업수입,경찰청,일반수입,0.0,31700000.0,0.0,0.0
손익계정,경찰병원,2024,세계잉여금이입액,세계잉여금,전년도세계잉여금,경찰청,보전수입,0.0,3184000.0,0.0,0.0
손익계정,경찰병원,2024,관유물대여료,재산수입,건물대여료,경찰청,일반수입,0.0,48000.0,0.0,0.0
손익계정,경찰병원,2024,기타이자수입및재산수입,재산수입,기타재산이자수입,경찰청,일반수입,0.0,1000.0,0.0,0.0
손익계정,경찰병원,2024,병원수입,재화및용역판매수입,병원수입,경찰청,일반수입,0.0,6300000.0,0.0,0.0
손익계정,경찰병원,2024,잡수입,재화및용역판매수입,기타잡수입,경찰청,일반수입,0.0,40000.0,0.0,0.0
손익계정,경찰병원,2024,전입금,정부내부수입및기타,일반회계전입금,경찰청,내부거래수입(회계간거래),0.0,45646000.0,0.0,0.0
자본계정,경찰병원,2024,세계잉여금이입액,세계잉여금,전년도세계잉여금,경찰청,보전수입,0.0,403000.0,0.0,0.0
자본계정,경찰병원,2024,기타,정부내부수입및기타,감가상각비전입금,경찰청,내부거래수입(회계내 계정간 거래),0.0,1000.0,0.0,0.0
